ATF1_(+),ATF4_(+),BATF_(+),BCLAF1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CREM_(+),CXXC1_(+),DRAP1_(+),E2F4_(+),EGR1_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),ETV3_(+),FLI1_(+),FOS_(+),FOSB_(+),GATA3_(+),HMGA1_(+),HOXB2_(+),IKZF1_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF3_(+),IRF7_(+),JUN_(+),JUNB_(+),JUND_(+),KLF10_(+),KLF11_(+),KLF13_(+),KLF2_(+),KLF3_(+),MAF_(+),MAFF_(+),MAZ_(+),NFATC2_(+),NFATC3_(+),NFKB1_(+),NFYC_(+),NR1H2_(+),NR3C1_(+),PHF20_(+),RBPJ_(+),RUNX3_(+),RXRB_(+),STAT1_(+),STAT6_(+),TAF6_(+),TBX21_(+),TFDP1_(+),TFDP2_(+),THAP1_(+),THRA_(+),USF2_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB25_(+),ZBTB7A_(+),ZNF274_(+),ZNF518A_(+),ZNF580_(+),ZNF595_(+)
,CHST11,SP110,,SLA,KATNBL1,DIAPH1,CINP,,,DNMT1,,GPR65,CHTOP,DCPS,HNRNPA1,CSDE1,SNRNP200,CFLAR,,OST4,CLTC,GTF2F1,DECR1,EDRF1,PSMD1,LRRFIP2,EIF3D,GPATCH4,,,TWISTNB,MTERF4,CMTM3,BTF3,DNAJC21,YPEL5,,USP34,GATAD2A,TTC38,,,FXR1,HINT1,,,SNRPG,,,DDX46,,PNPLA6,,,,,DNAJC1,,INPP5K,RNF7,,,EIF2AK1,,ATP8A1,,,COX7A2,,,SRGN,
,CHTOP,SP3,,SLC16A7,KLHL28,DNAJB6,CLK4,,,DOK2,,HDHD2,CIAO1,DECR1,HNRNPH1,CTDSP1,SRRT,CHD2,,PARP8,CMAS,GYPC,DMTF1,EIF1AX,PUM1,LYRM1,EIF3L,GTF3A,,,VIM,MYL12B,CNOT10,BTG1,DNM2,YWHAB,,WDFY1,GLCCI1,U2SURP,,,FYN,HNRNPUL2,,,SRI,,,DNAJC9,,RABGAP1L,,,,,DOCK8,,IREB2,RPA2,,,EIF3H,,ATRAID,,,CPD,,,SRP14,
,CIRBP,SPEN,,SNAPC5,KLRK1,DNAJC7,CLSTN1,,,DRG2,,HENMT1,CKS1B,DGCR6L,HNRNPK,CTR9,SSB,CHIC2,,PCBP2,CMPK1,GZMB,DNAJA1,EIF3D,RBM17,MAX,EIF5A,GUK1,,,ZBTB38,NECAP2,COG3,BTG2,DUS1L,YY1,,ZFP36L2,GLIPR2,VDAC1,,,GADD45B,HP1BP3,,,STARD7,,,DOCK11,,RAF1,,,,,DRAP1,,ITGB1,RPS4Y1,,,ENY2,,ATXN10,,,CPNE1,,,SRSF7,
,CKS1B,STARD7,,SNX10,LINC01138,DNM1L,CLSTN3,,,DUSP1,,HERPUD1,CLASP1,DGKQ,HSD17B11,CUTA,TGFBR3,CHURC1,,PDCD10,CMTM6,GZMH,DNAJC15,EIF3E,RBM39,MED23,ELF1,GZMH,,,ZNF511,NKG7,COPS2,BTN3A2,EEF1B2,ZFAND5,,ZNF331,GNAI2,VDAC2,,,GALNT10,IFNGR1,,,TBCB,,,DPY30,,RALA,,,,,DTD1,,KDM5A,RSL1D1,,,ERO1B,,B2M,,,CREB3L2,,,SSU72,
,CLDND1,STAU1,,SPTSSB,LMAN1,DNTTIP2,CLTB,,,ECH1,,HIPK1-AS1,CLDND1,DHX36,IFITM1,CYLD,TMCO1,CLDND1,,PHKG2,CMTR2,GZMK,DNTTIP2,EMC4,RHOF,MIER1,ELK4,HAT1,,,ZYX,NORAD,CORO1A,BUD31,EFHD2,ZNF706,,ZNF350,GSN,VPS37B,,,GAS7,IKBKG,,,TSC22D4,,,DTNBP1,,RAP1A,,,,,EAPP,,KDM5C,RTCA,,,EXOSC7,,B3GAT3,,,CREBBP,,,STK10,
,CLK1,STK16,,TCEA1,LRBA,DUS1L,COMMD2,,,EDF1,,HSD17B12,CLPTM1,DNAJC15,INO80E,DBI,TMEM165,CLEC2B,,PHLDA1,CNIH4,H2AFV,DOCK11,ENSA,RNASET2,MRPL33,EOMES,HGS,,,,NSA2,COX4I1,C12orf49,EIF1B,,,,GTF2A2,YWHAZ,,,GATAD2A,INTS10,,,UBL5,,,DTYMK,,RBM23,,,,,EEF1A1,,KIF2A,S100B,,,F2R,,BABAM1,,,CREBRF,,,SYF2,
,CLN3,STOM,,TGS1,LTBP3,EEF1B2,COMT,,,EFHD2,,HSP90AB1,CMIP,DNPEP,ISG20L2,DCP2,TSPO,CLIC3,,PIH1D1,COMMD3,H3F3B,DOCK8,EXOC1,RNF19A,MRPL43,ERP44,HLA-DPA1,,,,NUCKS1,COX7A2,C1GALT1,EIF3F,,,,GTF3A,ZBTB7A,,,GFOD1,ISY1,,,UHRF2,,,DUT,,RC3H2,,,,,EEF1B2,,KIF5B,S1PR1,,,FAM107B,,BANF1,,,CREM,,,SYNJ2,
,CLPTM1,STRIP1,,THRA,MAP3K8,EFHD2,COPS3,,,EIF2A,,IER2,CNIH1,DPM1,JUNB,DCTN2,UBE2N,CMPK1,,PIM3,COPE,HCG18,DTD1,EZH2,RSL1D1,MRPL44,FAM207A,HLA-DQB1,,,,OGT,COX7C,C1QBP,EIF3K,,,,HMOX2,ZFP36,,,GK5,ITGAL,,,UXS1,,,EEF1D,,RORA,,,,,EFR3A,,KPNA4,SCNM1,,,FCER1G,,BAX,,,CSK,,,TM9SF3,
,CMC1,STX16,,TMEM50B,MAT2B,EHMT1,COX14,,,EIF2B2,,IFRD1,CNOT2,DYNLL1,KCNQ1OT1,DDIT3,WTAP,CNDP2,,POLD4,COPS2,HEIH,DTYMK,FAF1,SCFD1,MRPS11,FAM3A,HMGB1,,,,PAPOLA,CST3,C22orf39,EIF5A,,,,HNRNPD,ZFP36L2,,,GMIP,ITGB1,,,VDAC1,,,EIF1B,,RRBP1,,,,,EHD1,,KTI12,SDAD1,,,FDX1,,BAZ1B,,,CSNK1A1,,,TMEM109,
,CNIH4,SZRD1,,TNFAIP3,MCRS1,EIF1,COX20,,,EIF3D,,IL18RAP,CNOT7,DYNLRB1,KDM2A,DDIT4,XIST,CNIH1,,POLR2J,COPS4,HERPUD1,DYRK1A,FAM32A,SCNM1,MRPS36,FDPS,HMGN1,,,,PET100,CSTB,C7orf50,ETS1,,,,HNRNPR,ZNF131,,,GNAI2,JADE1,,,WAC,,,EIF2S2,,SCAMP3,,,,,EIF3A,,LAMTOR3,SERTAD1,,,FKBP1A,,BCL7C,,,CSNK1D,,,TNFRSF4,
,CNOT4,TAF13,,TSPYL4,METTL14,EIF2B1,CREM,,,EIF3L,,IMMT,COMTD1,ECH1,KLRK1,DDT,YME1L1,CNOT9,,POMC,CORO1A,HMOX2,DZIP3,FIS1,SF1,MYADM,FERMT3,HNRNPA3,,,,PHKG2,CTDSP2,CA5B,FAM107B,,,,HSP90AA1,ZNF836,,,GNAS,JARID2,,,WTAP,,,EIF5B,,SCOC,,,,,EMG1,,LASP1,SLTM,,,FOSB,,BHLHE40,,,CSNK1G2,,,TTC19,
,COA1,TAF3,,TSSC4,MGAT4A,EIF2S3,CSGALNACT2,,,EIF3M,,IRS2,COPS2,EDF1,KTN1,DDX3X,ZBTB20,CNPPD1,,PPID,COX5A,HNRNPA0,EID1,GATA3,SKP1,NCALD,FGFR1OP2,HNRNPAB,,,,PLAC8,CWF19L2,CAB39,FASLG,,,,IER2,,,,GNB1,JOSD2,,,YWHAQ,,,ELOF1,,SCYL2,,,,,EMP3,,LEPROTL1,SMARCA2,,,FXYD5,,BMS1,,,CSNK2B,,,TTC3,
,COMMD2,TMEM120B,,TYMP,MGMT,EIF3L,CSNK1D,,,EIF6,,IVNS1ABP,COQ7,EEF1G,LAIR1,DDX3Y,ZNF493,CNTRL,,PPP2R2B,COX7A2,HNRNPA2B1,EIF2S3,GCH1,SLC25A36,NCOR1,FKBP1A,HNRNPDL,,,,PLEKHO1,CYCS,CALM1,FBXW2,,,,INPP5D,,,,GPR108,KCNAB2,,,ZFP91,,,EML3,,SEL1L3,,,,,ENC1,,LIMS1,SPCS1,,,GLG1,,BRD2,,,CTDSP1,,,UBE2V1,
,COPS5,TRIM28,,UBAP1,MOB3A,EMD,CSNK1E,,,ELF2,,JUN,CORO1A,EEF2,LATS1,DDX5,ZNF511,COA1,,PPP2R5C,COX7C,HNRNPK,EIF3M,GDI2,SMIM7,NDUFAF3,FKBP4,HSP90B1,,,,PPIB,CYTH2,CALM2,FBXW7,,,,IQGAP1,,,,GTF2A2,KDM4C,,,ZMYM5,,,EOMES,,SH3BP5,,,,,ENOPH1,,LINC01578,SRSF3,,,GMIP,,BRD4,,,CTNNB1,,,UQCRC2,
,COQ10B,UBE2J1,,UBE2L6,MRPL47,ENOPH1,CSNK1G2,,,ERBB2,,KDM6B,CPSF6,EGR1,LINC01588,DEK,,COMMD7,,PRMT9,COX8A,HNRNPU,EIF4A1,GLRX5,SORL1,NEDD8,FOXP1,HYOU1,,,,PPIG,DAAM1,CANX,FIBP,,,,IRF1,,,,GTF3C1,KRR1,,,,,,EWSR1,,SH3GLB1,,,,,ENTPD1-AS1,,LLPH,SRSF7,,,GPBP1,,BRIX1,,,CXXC5,,,UTP18,
,COX19,UCHL5,,USP33,MRPS31,ENTPD1-AS1,CTDP1,,,ERICH1,,KLF6,CREBRF,EHD1,LYPLA1,DENR,,COPA,,PRSS23,CPNE3,HNRNPUL1,EIF5A,GNG5,SRSF11,NFATC2IP,FRY,IFI27L2,,,,PRKD2,DAZAP2,CAPZA1,FKBP1A,,,,ITGB1,,,,H3F3A,KTN1,,,,,,EXOC4,,SH3YL1,,,,,ERBIN,,LMNB1,SSB,,,GSN,,BTG2,,,CYB5B,,,WDR46,
,COX7C,UNK,,ZHX1,MRPS5,EP400,CYB561D2,,,ERP29,,LAMTOR3,CREM,EIF2A,LYPLA2,DHRS1,,CPD,,PSMD9,CSNK1A1,HSP90AA1,EIF6,GNL3,SS18L2,NFKB2,G3BP2,IKZF1,,,,PSMC3,DBI,CAPZB,FOSB,,,,JUN,,,,H3F3B,KXD1,,,,,,EXOSC6,,SKP1,,,,,ERGIC3,,LPGAT1,SSR2,,,GTF2F2,,C14orf119,,,CYTH1,,,WDR74,
,CPNE1,URI1,,,NAE1,ETF1,CYB5B,,,ESYT2,,LMBRD1,CRY1,EIF2B1,MAN1A2,DHRS3,,CS,,PTCH2,CSNK2A1,HSPA5,EMC4,GPAA1,SYNE1,NGDN,G6PD,ILF2,,,,PUF60,DCP2,CARD11,FOSL2,,,,KIDINS220,,,,HDAC2,LASP1,,,,,,EZR,,SLC25A33,,,,,ERLEC1,,LUC7L2,STK17B,,,GTF3C1,,C16orf87,,,DAZAP1,,,XRN1,
,CPQ,WAPL,,,NBEAL1,ETFA,CYTH4,,,F2R,,LSM8,CSNK1D,EIF3D,MAP2K2,DHX9,,CSDE1,,PTPN18,CSRP1,IER2,ERGIC3,GPR65,TCF25,NIFK,GAR1,IRF7,,,,PYM1,DCTD,CASP10,FXYD5,,,,KLRK1,,,,HECTD1,LINC-PINT,,,,,,FAM133B,,SLC25A36,,,,,ERV3-1,,MDM4,STMN1,,,GZMA,,C1GALT1,,,DCAF16,,,YME1L1,
,CPSF6,WDR45,,,NDUFB8,EXOSC6,DCTN3,,,FAM204A,,MAFF,CTR9,EIF3F,MAPRE2,DNAJB14,,CTDSP1,,RAB27B,CTNNBIP1,IFRD1,ERH,GTF2A2,THAP1,NR4A1,GDI2,ITGB1,,,,RAB7A,DDX18,CASP4,FYN,,,,KXD1,,,,HELZ,LLGL2,,,,,,FAM53C,,SMAP2,,,,,ETS1,,ME2,SUPT16H,,,H3F3B,,C1orf174,,,DDIT4,,,ZBP1,
,CREBBP,WDTC1,,,NEK7,FAM192A,DDX39B,,,FAM32A,,MCL1,CTSO,EIF3H,MED17,DNAJC15,,CWC15,,RASGRP2,CTPS1,IL2RB,ERICH1,GTF3C6,TOMM20,NUDT22,GGA1,ITPKB,,,,RNF14,DDX21,CCDC82,G6PD,,,,LASP1,,,,HNRNPA3,LMNB1,,,,,,FBXO11,,STARD3NL,,,,,EVI2A,,MED17,TAGAP,,,HEIH,,C1orf21,,,DECR1,,,ZEB2,
,CREBRF,WSB1,,,NFAT5,FASLG,DDX6,,,FAM3C,,MCM5,CWC15,EIF3K,MYO1F,DNAJC7,,CYFIP2,,RNF19A,CXCR4,IRF1,EXOSC9,H2AFV,TOMM6,ORMDL2,GLS,KHDRBS1,,,,RNF168,DDX3X,CCDC85B,GADD45B,,,,LAT2,,,,HSPA4,LONP2,,,,,,FCGR3A,,STX11,,,,,FAM122B,,MED28,THAP1,,,HERPUD1,,C7orf50,,,DENND2D,,,ZNF580,
,CSDE1,WTAP,,,NFYB,FDPS,DENND6A,,,FAM49B,,MED30,CYTH1,EIF3L,MZF1-AS1,DPP9,,DBI,,RNF44,CYLD,IRF2BPL,FAM200B,H2AFY,TPM4,OXSR1,GNAI2,KRI1,,,,RNF181,DDX3Y,CCDC92,GAK,,,,LEPROTL1,,,,HUS1,LPCAT1,,,,,,FDX1,,SYNE2,,,,,FAM177A1,,MED6,TMBIM6,,,HMGCS1,,C9orf16,,,DGKD,,,ZNF821,
,CSNK1G3,YWHAQ,,,NPEPPS,FDX1,DHRS1,,,FAM53C,,MEPCE,DAD1,EIF4E,NARF,DPY30,,DCTN3,,RPS4Y1,DCK,JTB,FAM207A,H2AFZ,TPST2,PHYKPL,GPRIN3,LAP3,,,,RNPS1,DECR1,CCDC97,GATAD1,,,,LSP1,,,,IFITM2,MACF1,,,,,,FGFBP2,,TFPT,,,,,FAM204A,,MICU2,TMED9,,,HMGN4,,CABIN1,,,DGKQ,,,,
,CST7,YWHAZ,,,NR4A1,FECH,DHX15,,,FBL,,MGAT4A,DAXX,EIF4E2,NDUFS7,DTNBP1,,DDA1,,RSBN1L,DCTN4,JUN,FBXO9,HACD3,TRMT10C,PIM1,GPSM3,LCK,,,,RPS6KA1,DEK,CCNH,GDI2,,,,LUC7L3,,,,IFNGR1,MATK,,,,,,FMR1,,TLE1,,,,,FAM98B,,MOB4,TMX4,,,HNRNPF,,CALM1,,,DGKZ,,,,
,CYB5R4,ZNF207,,,NXF1,FGFBP2,DNAJC21,,,FBXO33,,MLF2,DCTN2,EIF4H,NEAT1,DTYMK,,DDHD1,,RTCB,DDX1,KCTD10,FDX1,HENMT1,UQCR11,PIP4K2A,GRPEL1,LPP,,,,RUNX3,DNAJB9,CCNI,GNAI2,,,,MAGOH,,,,IL16,MBNL1,,,,,,FOSL2,,TMEM167A,,,,,FBXO11,,MPG,TPD52,,,HP1BP3,,CALM2,,,DHX30,,,,
,CYCS,,,,OARD1,FKBP1A,DOCK11,,,FCER1G,,MMADHC,DDHD1,EIF6,NECAP2,DYNC1H1,,DDIT3,,RTN4,DDX18,KLF6,FIBP,HMGA1,UQCRQ,PLP2,GSE1,LRCH4,,,,S1PR1,DNAJC1,CCNL1,GNAS,,,,MAP3K8,,,,IQGAP2,ME2,,,,,,FXR1,,TNRC6B,,,,,FBXO7,,MRPL28,TRAF3IP3,,,HPS1,,CANX,,,DIAPH1,,,,
,CYLD,,,,OCIAD1,FMNL1,DPM3,,,FCGR3A,,MRPL52,DDX18,ELF2,NFE2L2,EDF1,,DDX17,,SATB1,DDX3Y,KLRB1,FNDC3B,HMGB1,UXS1,POLR2C,GSPT1,LSM12,,,,SAMD3,DPY30,CCNT1,GPANK1,,,,MDH1,,,,ITCH,MED17,,,,,,GATAD2A,,TOR1AIP1,,,,,FECH,,MTF2,TRAPPC4,,,HSBP1,,CAPNS1,,,DNAJB6,,,,
,CYP20A1,,,,ODC1,FRYL,DUS1L,,,FERMT3,,MRPS34,DERL2,ELOVL5,NME2,EEF1B2,,DESI2,,SCAMP2,DDX42,KMT2E,FRMD8,HMGB2,VPS51,POLR2K,H2AFJ,LSM3,,,,SAP18,DR1,CCT2,GRK2,,,,MLLT6,,,,ITFG2,MTPN,,,,,,GDI2,,TOX,,,,,FES,,NAA20,TRMT10C,,,HSP90AA1,,CAPZA2,,,DNAJC15,,,,
,DAD1,,,,OSER1,FTH1,EDRF1,,,FKBP1A,,NACA,DGKQ,EP400,OSTC,EID3,,DHRS1,,SCYL1,DDX5,KRIT1,FRY,HMGN2,ZFP14,PPP1R10,H2AFV,LSM5,,,,SAT1,DUSP1,CCT6A,GTPBP4,,,,MMADHC,,,,ITM2A,MYO1F,,,,,,GNG5,,TRIM39,,,,,FIP1L1,,NABP2,TUBB,,,HSPA5,,CAPZB,,,DNM2,,,,
,DBI,,,,PABPC1,FTL,EFHD2,,,FKBP4,,NAP1L1,DHX36,ESYT2,PA2G4,EIF3D,,DHRS7B,,SEC62,DECR1,KRT10,GATA3,HNRNPA1,ZMAT3,PRKCSH,HCLS1,LY6E,,,,SDHAF2,EEF1D,CD160,HMGB2,,,,MRPS21,,,,JAK1,NCL,,,,,,GOLGA4,,TRIP12,,,,,FKBP5,,NAP1L1,TUBB4B,,,HSPA8,,CARD19,,,DNPEP,,,,
,DDIT3,,,,PAK2,GABARAPL1,EIF2B2,,,FOXP1,,NARF,DHX38,EZH2,PAN3,EIF3G,,DLD,,SH3GLB1,DNAJC1,LINC00528,GATAD2A,HNRNPDL,ZNF207,PRKDC,HGSNAT,LYRM7,,,,SELL,EGR1,CD2BP2,HMGN1,,,,MRPS33,,,,KAT6B,NDUFA13,,,,,,GOLGB1,,TSPAN3,,,,,FNBP4,,NBR1,UBC,,,IKZF1,,CASP8,,,DOCK11,,,,
,DDIT4,,,,PAM,GABARAPL2,EIF4G2,,,FRG1,,NCK1,DHX9,F2R,PCF11,EIF3L,,DNAJC21,,SLC25A45,DNAJC21,LMBRD1,GCHFR,HNRNPF,ZNF428,PRMT2,HIPK1,MANF,,,,SERPINB1,EGR2,CD37,HNRNPA2B1,,,,MSN,,,,KBTBD2,NDUFB5,,,,,,GPAA1,,UBE2J1,,,,,FNIP1,,NDUFB1,USP28,,,IL18RAP,,CAST,,,DPM3,,,,
,DDX1,,,,PAN3,GAK,EIF5A2,,,FTH1,,NCOR1,DIP2A,FAM107B,PCGF5,EIF3M,,DNAJC4,,SLC39A10,DPY30,LRRFIP1,GNL3L,HSP90AA1,,PSMB8,HM13,MCM3,,,,SH3BGRL3,EIF1,CD3E,HNRNPDL,,,,MYADM,,,,KLF3,NEAT1,,,,,,GPATCH4,,UPF2,,,,,FOXP1,,NDUFC1,UXS1,,,INTS10,,CBX5,,,DUS1L,,,,
,DDX18,,,,PARP8,GK5,ELF1,,,FXYD5,,NEAT1,DIS3,FAM136A,PDAP1,EIF4H,,DNAJC7,,SMAD7,DUSP1,MAD1L1,GOLGA7,HSPB11,,PTBP3,HMGB2,MED21,,,,SLC25A11,EIF2A,CD46,HNRNPF,,,,MYDGF,,,,KPNA4,NFATC2,,,,,,GPR108,,USP15,,,,,FUBP3,,NECAP2,WDR83,,,ITM2A,,CBX7,,,DUSP5,,,,
,DDX3X,,,,PCBP2,GLO1,EPC1,,,GATA3,,NEDD1,DNAJC7,FAM162A,PDLIM5,ELF1,,DOCK8,,SMAP2,DUSP10,MAP3K2,GTF2A2,IGFBP7,,PTPRA,HMGN2,MED4,,,,SLC30A7,EIF2AK1,CD69,HNRNPUL1,,,,MYL12A,,,,KRTCAP2,NIN,,,,,,GPR65,,USP3,,,,,G3BP2,,NEK7,XAF1,,,ITM2B,,CCDC124,,,EFTUD2,,,,
,DDX42,,,,PCGF5,GLUD1,ERCC1,,,GLIPR2,,NELFE,DNMT1,FAM207A,PFDN2,EOMES,,DRG1,,SMARCA2,DYM,MCL1,GYPC,IL27RA,,RAD21,HMGN3,METAP2,,,,SLC50A1,EIF2S3,CDC40,HPS1,,,,MYLIP,,,,LAMTOR4,NOLC1,,,,,,GPS1,,USP9X,,,,,GCHFR,,NGLY1,ZDHHC3,,,JADE2,,CCDC88C,,,EIF3B,,,,
,DDX49,,,,PDS5B,GNAI2,ERGIC1,,,GNAI2,,NFKBIA,DPH3,FAM3C,PILRB,EVI2B,,ECHS1,,SNRPB2,DZIP3,MGST3,H2AFV,ING2,,RAD51-AS1,HMGN4,MIF,,,,SMCHD1,EIF3A,CDC42,HSP90AB1,,,,N4BP2L1,,,,LDHB,NOSIP,,,,,,GRAP2,,VAPA,,,,,GFER,,NOSIP,ZFAND2A,,,JARID2,,CCDC90B,,,EIF3D,,,,
,DDX5,,,,PER1,GNLY,ERGIC3,,,GNB2,,NFKBIZ,DPM3,FAM53C,PJA2,EVL,,ECSIT,,SOD1,EEF1A1,MIB2,H2AFZ,INO80E,,RAPGEF6,HNRNPA0,MRPL22,,,,SNRPB2,EIF3E,CDK17,HSPA5,,,,NDUFB7,,,,LIMK1,NR1H2,,,,,,GRPEL1,,WBP4,,,,,GIMAP1,,NR1H2,ZFAS1,,,KCTD20,,CCL4L2,,,EIF3G,,,,
,DEK,,,,PFKP,GON4L,ERP44,,,GNG5,,NME2,DPP9,FBXO7,POLR2K,EXOSC6,,EDEM2,,SRSF10,EGR1,MON2,HADHB,IP6K2,,RBM33,HNRNPA1,MRPL47,,,,SRRM2,EIF3G,CDK5RAP3,HSPA8,,,,NDUFS3,,,,LMF2,NRBP1,,,,,,GRSF1,,WTAP,,,,,GMIP,,NUDT5,ZNF394,,,KDELR2,,CCM2,,,EIF3H,,,,
,DENR,,,,PHAX,GPATCH8,ETHE1,,,GOLGA4,,NOSIP,DUSP10,FBXW5,POP5,FAM111A,,EFCAB2,,SRSF6,EIF1,MPG,HIGD2A,IRF7,,RCC2,HNRNPA2B1,MRPL48,,,,SRSF2,EIF3H,CDK6,HSPA9,,,,NR4A2,,,,LRPAP1,NUCB1,,,,,,GSN,,XPO4,,,,,GNAI2,,NUP107,ZRANB2,,,KIN,,CCND2,,,EIF3L,,,,
,DESI2,,,,PKN1,GRIPAP1,ETS1,,,GOLGA8B,,NR4A1,DUSP5,FES,PPIB,FAM120AOS,,EGLN1,,TBC1D15,EIF2AK1,MRPS15,HINT2,ISG15,,RCE1,HP1BP3,MRPS18A,,,,STK17A,EIF3L,CDKN2D,IDI1,,,,NR4A3,,,,M6PR,OSTF1,,,,,,GSTK1,,YES1,,,,,GNL3L,,OGT,,,,LAMTOR1,,CCND3,,,EIF4A1,,,,
,DHPS,,,,PLEKHA2,GTF3C1,FAAP20,,,GPX4,,NSA2,EEF1D,FGR,PPP1R10,FASTK,,EI24,,TGFBR3,EIF2B2,MTCH1,HMGN2,KDELR2,,RELA,HSD17B10,MRPS21,,,,STYXL1,EIF3M,CEBPZOS,IKBKG,,,,OSTM1,,,,MAP1LC3B,PABPC1,,,,,,GTF3C1,,ZBTB16,,,,,H2AFV,,OSBPL8,,,,LAS1L,,CCNH,,,EIF4B,,,,
,DIP2A,,,,PPP1CC,GUK1,FBXO6,,,GSPT1,,ODF2L,EIF2AK1,FIBP,PRPF4B,FBXL5,,EIF2AK1,,TLE4,EIF2S2,MTRNR2L8,HMGN3,KHDRBS1,,REV3L,HSP90AA1,MRPS5,,,,SUGT1,EIF4A2,CEP350,IQGAP1,,,,P4HB,,,,MAP4,PARP8,,,,,,GZMB,,ZFAND2B,,,,,HBP1,,OTULIN,,,,LSM3,,CCT4,,,EIF5A,,,,
,DKC1,,,,PPP1R10,GXYLT1,FBXO7,,,GTF2A2,,OFD1,EIF3B,FKBP1A,PSMF1,FCER1G,,EIF3B,,TM2D1,EIF3D,MYDGF,HSPA5,KRR1,,RGS19,HSP90AB1,MT1X,,,,SYAP1,EIF5A,CERS5,ITFG2,,,,PABPC1,,,,MAZ,PARVG,,,,,,H3F3A,,ZFP36L2,,,,,HCFC1,,PAIP2,,,,LSP1,,CD164,,,ELF2,,,,
,DNAJB1,,,,PPP1R12A,GZMB,FCMR,,,GTPBP4,,PDIA4,EIF4A1,FLT3LG,PTPN7,FDFT1,,EIF3G,,TMEM134,EIF3E,MYL12A,HSPB11,LDHA,,RIC8A,HSPA5,MTERF4,,,,SYTL3,ENSA,CFL1,ITGAM,,,,PAGR1,,,,MCFD2,PCM1,,,,,,HECTD1,,ZFX,,,,,HDAC7,,PAM,,,,MAGOH,,CD2AP,,,EMC7,,,,
,DNAJB14,,,,PPP2R5E,H2AFY,FLNA,,,GZMB,,PHB2,ELAVL1,FOXK1,PTPRE,FDPS,,EIF4E2,,TMEM141,EIF3G,MZF1-AS1,IARS,LINC00623,,RNF115,HSPA8,MTPN,,,,TNIP2,ERCC5,CHD1,ITGB1,,,,PAIP2,,,,MED17,PHB2,,,,,,HMGB1,,,,,,,HDDC2,,PAN3,,,,MAP2K1,,CD47,,,ENY2,,,,
,DNAJB6,,,,PPP4R2,H3F3B,FYN,,,GZMH,,PHF1,ELF1,FUNDC2,PYURF,FERMT3,,EIF4H,,TMEM14B,EIF3H,NABP2,ID1,LMNB1,,RPS11,HTATIP2,MYADM,,,,TRIM39,ERICH1,CHD9,JAK1,,,,PCBP2,,,,MEPCE,PLEKHA2,,,,,,HMGB2,,,,,,,HENMT1,,PCM1,,,,MAP3K8,,CD53,,,EP400,,,,
,DNAJB9,,,,PRELID3B,HAUS1,G3BP1,,,H2AFZ,,PHLDA1,ELMO1,GAPDH,RAB35,FGFR1OP2,,EIF5A,,TMEM165,EIF3I,NCAPH2,ID2,LRRC58,,SAMD3,IDH3B,MYL12B,,,,TTC32,ESYT2,CHERP,JMJD1C,,,,PGAM1,,,,MGRN1,POLG,,,,,,HMGN2,,,,,,,HMOX2,,PDCD4,,,,MCL1,,CD55,,,ETF1,,,,
,DNAJC15,,,,PRPF38A,HECA,GABPB1-AS1,,,HERC2,,PIAS1,EMD,GATAD2A,RABAC1,FKBP1A,,EIF5A2,,TMEM18,EIF3L,NCOA4,IFITM2,LSM3,,SCNM1,IDH3G,NAA38,,,,UBA5,ETFA,CHMP1B,JUND,,,,PHF21A,,,,MIEN1,PPP1R35,,,,,,HNRNPA3,,,,,,,HSPB11,,PDCD6IP,,,,MGAT1,,CD63,,,EVI2B,,,,
,DNAJC7,,,,PSMA3-AS1,HENMT1,GALNT11,,,HINT1,,PIK3C2A,EMG1,GHITM,RAP1B,GABARAPL2,,ELOVL5,,TMEM59,EIF3M,NDUFB1,IFITM3,LSM5,,SDHAF2,IGBP1,NAA50,,,,UBE2M,EXOSC9,CHMP3,KLF2,,,,POLE3,,,,MIER1,PPP6R1,,,,,,HNRNPAB,,,,,,,IKZF1,,PDE4B,,,,MLF2,,CD81,,,FBL,,,,
,DPM3,,,,PTBP3,HERPUD2,GAR1,,,HMGN3,,PITHD1,ENC1,GLRX3,RBBP6,GDI1,,EMG1,,TOMM20,EIF4A2,NDUFS5,IL18R1,LZIC,,SF3B2,IKZF3,NASP,,,,UCP2,EZH2,CHMP5,LAMTOR4,,,,POLR2F,,,,MNT,PRKCSH,,,,,,HNRNPF,,,,,,,ILF2,,PDE4D,,,,MNT,,CDC42EP3,,,FBXO7,,,,
,DR1,,,,PTPN2,HEXA,GFER,,,HNRNPC,,POLD2,EOMES,GLUL,RBCK1,GDI2,,EML4,,TPRKB,EIF4G2,NEAT1,IL27RA,MAD2L2,,SFI1,IQGAP1,NCKAP1L,,,,UTP18,FAM120AOS,CHMP6,LAPTM4A,,,,PPP1R7,,,,MPHOSPH8,PSMB3,,,,,,HNRNPH3,,,,,,,IQSEC1,,PDS5B,,,,MRPL11,,CDC42SE1,,,FBXW5,,,,
