ATF1_(+),BATF_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CEBPG_(+),CREB1_(+),CREM_(+),CTCF_(+),CXXC1_(+),DRAP1_(+),E2F4_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),ETV3_(+),FLI1_(+),GATA3_(+),HMGA1_(+),HOXB2_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF2_(+),IRF3_(+),IRF7_(+),IRF8_(+),KLF11_(+),KLF3_(+),MAZ_(+),MXD1_(+),NFATC2_(+),NFATC3_(+),NFYB_(+),NFYC_(+),NR1H2_(+),PHF20_(+),RBPJ_(+),RELA_(+),RUNX1_(+),RXRB_(+),STAT1_(+),STAT2_(+),STAT6_(+),TAF6_(+),TBX21_(+),TFDP1_(+),TFDP2_(+),THAP1_(+),THRA_(+),USF2_(+),VEZF1_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB7A_(+),ZNF274_(+),ZNF518A_(+),ZNF580_(+),ZNF595_(+)
,WTAP,NFYB,FDPS,DENND6A,,,,,,FAM49B,,CYTH1,EIF3L,MZF1-AS1,DPP9,,DBI,,RNF44,FAM200B,H2AFY,TPM4,OXSR1,,GNAI2,KRI1,,,,RNF181,,,,HUS1,,LPCAT1,,,,,FDX1,,,,,,,,,FAM177A1,,MED6,TMBIM6,,,,HMGCS1,,C9orf16,,DGKD,,,ZNF821,
,YWHAQ,NPEPPS,FDX1,DHRS1,,,,,,FAM53C,,DAD1,EIF4E,NARF,DPY30,,DCTN3,,RPS4Y1,FAM207A,H2AFZ,TPST2,PHYKPL,,GPRIN3,LAP3,,,,RNPS1,,,,IFITM2,,MACF1,,,,,FGFBP2,,,,,,,,,FAM204A,,MICU2,TMED9,,,,HMGN4,,CABIN1,,DGKQ,,,,
,YWHAZ,NR4A1,FECH,DHX15,,,,,,FBL,,DAXX,EIF4E2,NDUFS7,DTNBP1,,DDA1,,RSBN1L,FBXO9,HACD3,TRMT10C,PIM1,,GPSM3,LCK,,,,RPS6KA1,,,,IFNGR1,,MATK,,,,,FMR1,,,,,,,,,FAM98B,,MOB4,TMX4,,,,HNRNPF,,CALM1,,DGKZ,,,,
,ZNF207,NXF1,FGFBP2,DNAJC21,,,,,,FBXO33,,DCTN2,EIF4H,NEAT1,DTYMK,,DDHD1,,RTCB,FDX1,HENMT1,UQCR11,PIP4K2A,,GRPEL1,LPP,,,,RUNX3,,,,IL16,,MBNL1,,,,,FOSL2,,,,,,,,,FBXO11,,MPG,TPD52,,,,HP1BP3,,CALM2,,DHX30,,,,
,,OARD1,FKBP1A,DOCK11,,,,,,FCER1G,,DDHD1,EIF6,NECAP2,DYNC1H1,,DDIT3,,RTN4,FIBP,HMGA1,UQCRQ,PLP2,,GSE1,LRCH4,,,,S1PR1,,,,IQGAP2,,ME2,,,,,FXR1,,,,,,,,,FBXO7,,MRPL28,TRAF3IP3,,,,HPS1,,CANX,,DIAPH1,,,,
,,OCIAD1,FMNL1,DPM3,,,,,,FCGR3A,,DDX18,ELF2,NFE2L2,EDF1,,DDX17,,SATB1,FNDC3B,HMGB1,UXS1,POLR2C,,GSPT1,LSM12,,,,SAMD3,,,,ITCH,,MED17,,,,,GATAD2A,,,,,,,,,FECH,,MTF2,TRAPPC4,,,,HSBP1,,CAPNS1,,DNAJB6,,,,
,,ODC1,FRYL,DUS1L,,,,,,FERMT3,,DERL2,ELOVL5,NME2,EEF1B2,,DESI2,,SCAMP2,FRMD8,HMGB2,VPS51,POLR2K,,H2AFJ,LSM3,,,,SAP18,,,,ITFG2,,MTPN,,,,,GDI2,,,,,,,,,FES,,NAA20,TRMT10C,,,,HSP90AA1,,CAPZA2,,DNAJC15,,,,
,,OSER1,FTH1,EDRF1,,,,,,FKBP1A,,DGKQ,EP400,OSTC,EID3,,DHRS1,,SCYL1,FRY,HMGN2,ZFP14,PPP1R10,,H2AFV,LSM5,,,,SAT1,,,,ITM2A,,MYO1F,,,,,GNG5,,,,,,,,,FIP1L1,,NABP2,TUBB,,,,HSPA5,,CAPZB,,DNM2,,,,
,,PABPC1,FTL,EFHD2,,,,,,FKBP4,,DHX36,ESYT2,PA2G4,EIF3D,,DHRS7B,,SEC62,GATA3,HNRNPA1,ZMAT3,PRKCSH,,HCLS1,LY6E,,,,SDHAF2,,,,JAK1,,NCL,,,,,GOLGA4,,,,,,,,,FKBP5,,NAP1L1,TUBB4B,,,,HSPA8,,CARD19,,DNPEP,,,,
,,PAK2,GABARAPL1,EIF2B2,,,,,,FOXP1,,DHX38,EZH2,PAN3,EIF3G,,DLD,,SH3GLB1,GATAD2A,HNRNPDL,ZNF207,PRKDC,,HGSNAT,LYRM7,,,,SELL,,,,KAT6B,,NDUFA13,,,,,GOLGB1,,,,,,,,,FNBP4,,NBR1,UBC,,,,IKZF1,,CASP8,,DOCK11,,,,
,,PAM,GABARAPL2,EIF4G2,,,,,,FRG1,,DHX9,F2R,PCF11,EIF3L,,DNAJC21,,SLC25A45,GCHFR,HNRNPF,ZNF428,PRMT2,,HIPK1,MANF,,,,SERPINB1,,,,KBTBD2,,NDUFB5,,,,,GPAA1,,,,,,,,,FNIP1,,NDUFB1,USP28,,,,IL18RAP,,CAST,,DPM3,,,,
,,PAN3,GAK,EIF5A2,,,,,,FTH1,,DIP2A,FAM107B,PCGF5,EIF3M,,DNAJC4,,SLC39A10,GNL3L,HSP90AA1,,PSMB8,,HM13,MCM3,,,,SH3BGRL3,,,,KLF3,,NEAT1,,,,,GPATCH4,,,,,,,,,FOXP1,,NDUFC1,UXS1,,,,INTS10,,CBX5,,DUS1L,,,,
,,PARP8,GK5,ELF1,,,,,,FXYD5,,DIS3,FAM136A,PDAP1,EIF4H,,DNAJC7,,SMAD7,GOLGA7,HSPB11,,PTBP3,,HMGB2,MED21,,,,SLC25A11,,,,KPNA4,,NFATC2,,,,,GPR108,,,,,,,,,FUBP3,,NECAP2,WDR83,,,,ITM2A,,CBX7,,DUSP5,,,,
,,PCBP2,GLO1,EPC1,,,,,,GATA3,,DNAJC7,FAM162A,PDLIM5,ELF1,,DOCK8,,SMAP2,GTF2A2,IGFBP7,,PTPRA,,HMGN2,MED4,,,,SLC30A7,,,,KRTCAP2,,NIN,,,,,GPR65,,,,,,,,,G3BP2,,NEK7,XAF1,,,,ITM2B,,CCDC124,,EFTUD2,,,,
,,PCGF5,GLUD1,ERCC1,,,,,,GLIPR2,,DNMT1,FAM207A,PFDN2,EOMES,,DRG1,,SMARCA2,GYPC,IL27RA,,RAD21,,HMGN3,METAP2,,,,SLC50A1,,,,LAMTOR4,,NOLC1,,,,,GPS1,,,,,,,,,GCHFR,,NGLY1,ZDHHC3,,,,JADE2,,CCDC88C,,EIF3B,,,,
,,PDS5B,GNAI2,ERGIC1,,,,,,GNAI2,,DPH3,FAM3C,PILRB,EVI2B,,ECHS1,,SNRPB2,H2AFV,ING2,,RAD51-AS1,,HMGN4,MIF,,,,SMCHD1,,,,LDHB,,NOSIP,,,,,GRAP2,,,,,,,,,GFER,,NOSIP,ZFAND2A,,,,JARID2,,CCDC90B,,EIF3D,,,,
,,PER1,GNLY,ERGIC3,,,,,,GNB2,,DPM3,FAM53C,PJA2,EVL,,ECSIT,,SOD1,H2AFZ,INO80E,,RAPGEF6,,HNRNPA0,MRPL22,,,,SNRPB2,,,,LIMK1,,NR1H2,,,,,GRPEL1,,,,,,,,,GIMAP1,,NR1H2,ZFAS1,,,,KCTD20,,CCL4L2,,EIF3G,,,,
,,PFKP,GON4L,ERP44,,,,,,GNG5,,DPP9,FBXO7,POLR2K,EXOSC6,,EDEM2,,SRSF10,HADHB,IP6K2,,RBM33,,HNRNPA1,MRPL47,,,,SRRM2,,,,LMF2,,NRBP1,,,,,GRSF1,,,,,,,,,GMIP,,NUDT5,ZNF394,,,,KDELR2,,CCM2,,EIF3H,,,,
,,PHAX,GPATCH8,ETHE1,,,,,,GOLGA4,,DUSP10,FBXW5,POP5,FAM111A,,EFCAB2,,SRSF6,HIGD2A,IRF7,,RCC2,,HNRNPA2B1,MRPL48,,,,SRSF2,,,,LRPAP1,,NUCB1,,,,,GSN,,,,,,,,,GNAI2,,NUP107,ZRANB2,,,,KIN,,CCND2,,EIF3L,,,,
,,PKN1,GRIPAP1,ETS1,,,,,,GOLGA8B,,DUSP5,FES,PPIB,FAM120AOS,,EGLN1,,TBC1D15,HINT2,ISG15,,RCE1,,HP1BP3,MRPS18A,,,,STK17A,,,,M6PR,,OSTF1,,,,,GSTK1,,,,,,,,,GNL3L,,OGT,,,,,LAMTOR1,,CCND3,,EIF4A1,,,,
,,PLEKHA2,GTF3C1,FAAP20,,,,,,GPX4,,EEF1D,FGR,PPP1R10,FASTK,,EI24,,TGFBR3,HMGN2,KDELR2,,RELA,,HSD17B10,MRPS21,,,,STYXL1,,,,MAP1LC3B,,PABPC1,,,,,GTF3C1,,,,,,,,,H2AFV,,OSBPL8,,,,,LAS1L,,CCNH,,EIF4B,,,,
,,PPP1CC,GUK1,FBXO6,,,,,,GSPT1,,EIF2AK1,FIBP,PRPF4B,FBXL5,,EIF2AK1,,TLE4,HMGN3,KHDRBS1,,REV3L,,HSP90AA1,MRPS5,,,,SUGT1,,,,MAP4,,PARP8,,,,,GZMB,,,,,,,,,HBP1,,OTULIN,,,,,LSM3,,CCT4,,EIF5A,,,,
,,PPP1R10,GXYLT1,FBXO7,,,,,,GTF2A2,,EIF3B,FKBP1A,PSMF1,FCER1G,,EIF3B,,TM2D1,HSPA5,KRR1,,RGS19,,HSP90AB1,MT1X,,,,SYAP1,,,,MAZ,,PARVG,,,,,H3F3A,,,,,,,,,HCFC1,,PAIP2,,,,,LSP1,,CD164,,ELF2,,,,
,,PPP1R12A,GZMB,FCMR,,,,,,GTPBP4,,EIF4A1,FLT3LG,PTPN7,FDFT1,,EIF3G,,TMEM134,HSPB11,LDHA,,RIC8A,,HSPA5,MTERF4,,,,SYTL3,,,,MCFD2,,PCM1,,,,,HECTD1,,,,,,,,,HDAC7,,PAM,,,,,MAGOH,,CD2AP,,EMC7,,,,
,,PPP2R5E,H2AFY,FLNA,,,,,,GZMB,,ELAVL1,FOXK1,PTPRE,FDPS,,EIF4E2,,TMEM141,IARS,LINC00623,,RNF115,,HSPA8,MTPN,,,,TNIP2,,,,MED17,,PHB2,,,,,HMGB1,,,,,,,,,HDDC2,,PAN3,,,,,MAP2K1,,CD47,,ENY2,,,,
,,PPP4R2,H3F3B,FYN,,,,,,GZMH,,ELF1,FUNDC2,PYURF,FERMT3,,EIF4H,,TMEM14B,ID1,LMNB1,,RPS11,,HTATIP2,MYADM,,,,TRIM39,,,,MEPCE,,PLEKHA2,,,,,HMGB2,,,,,,,,,HENMT1,,PCM1,,,,,MAP3K8,,CD53,,EP400,,,,
,,PRELID3B,HAUS1,G3BP1,,,,,,H2AFZ,,ELMO1,GAPDH,RAB35,FGFR1OP2,,EIF5A,,TMEM165,ID2,LRRC58,,SAMD3,,IDH3B,MYL12B,,,,TTC32,,,,MGRN1,,POLG,,,,,HMGN2,,,,,,,,,HMOX2,,PDCD4,,,,,MCL1,,CD55,,ETF1,,,,
,,PRPF38A,HECA,GABPB1-AS1,,,,,,HERC2,,EMD,GATAD2A,RABAC1,FKBP1A,,EIF5A2,,TMEM18,IFITM2,LSM3,,SCNM1,,IDH3G,NAA38,,,,UBA5,,,,MIEN1,,PPP1R35,,,,,HNRNPA3,,,,,,,,,HSPB11,,PDCD6IP,,,,,MGAT1,,CD63,,EVI2B,,,,
,,PSMA3-AS1,HENMT1,GALNT11,,,,,,HINT1,,EMG1,GHITM,RAP1B,GABARAPL2,,ELOVL5,,TMEM59,IFITM3,LSM5,,SDHAF2,,IGBP1,NAA50,,,,UBE2M,,,,MIER1,,PPP6R1,,,,,HNRNPAB,,,,,,,,,IKZF1,,PDE4B,,,,,MLF2,,CD81,,FBL,,,,
,,PTBP3,HERPUD2,GAR1,,,,,,HMGN3,,ENC1,GLRX3,RBBP6,GDI1,,EMG1,,TOMM20,IL18R1,LZIC,,SF3B2,,IKZF3,NASP,,,,UCP2,,,,MNT,,PRKCSH,,,,,HNRNPF,,,,,,,,,ILF2,,PDE4D,,,,,MNT,,CDC42EP3,,FBXO7,,,,
,,PTPN2,HEXA,GFER,,,,,,HNRNPC,,EOMES,GLUL,RBCK1,GDI2,,EML4,,TPRKB,IL27RA,MAD2L2,,SFI1,,IQGAP1,NCKAP1L,,,,UTP18,,,,MPHOSPH8,,PSMB3,,,,,HNRNPH3,,,,,,,,,IQSEC1,,PDS5B,,,,,MRPL11,,CDC42SE1,,FBXW5,,,,
,,PTPRE,HIBCH,GFOD1,,,,,,HNRNPK,,ERGIC3,GNA13,RBM3,GGA1,,EMP3,,TRAPPC6A,INO80E,MAP7D1,,SLC25A36,,IRF1,NDUFA1,,,,VAPA,,,,MRPL33,,PSMG2,,,,,HNRNPK,,,,,,,,,JADE1,,PIGT,,,,,MRPL12,,CDC5L,,FCGR3A,,,,
,,RAB11B,HIPK1,GLRX5,,,,,,HNRNPR,,ERICH1,GNG10,RBM7,GNAI2,,ENY2,,TRIM22,INPP5D,MATK,,SLFN5,,IRF7,NDUFA4,,,,VMA21,,,,MRPL51,,PTEN,,,,,HPRT1,,,,,,,,,JAK1,,POLR2C,,,,,MRPL23,,CDIP1,,FGFBP2,,,,
,,RAB27A,HIPK3,GOLGA7,,,,,,HPF1,,ERV3-1,GNPTAB,RBMX,GNB2,,EPB41,,TSC22D4,INPP5K,MCM3,,SOCS3,,ISG20,NDUFA6,,,,VPS37B,,,,MRPS23,,PTP4A2,,,,,HSPH1,,,,,,,,,JAK3,,PPHLN1,,,,,MRPL43,,CDK13,,GALC,,,,
,,RAB29,HLA-E,GPATCH8,,,,,,ICAM3,,ESD,GSPT1,RHOA,GNG2,,ESD,,UBC,ISCU,MCUR1,,SREK1,,ITCH,NDUFB2,,,,XRCC5,,,,MYH9,,PTPN4,,,,,IDH2,,,,,,,,,JOSD2,,PPM1B,,,,,MRPS34,,CDKN2D,,GHITM,,,,
,,RAB9A,HSPA8,GPR65,,,,,,IFI16,,EXOC7,GTF2F1,RNH1,GPAA1,,ETFB,,UBR2,KDM6B,ME2,,SRPK2,,JADE1,NDUFS6,,,,ZFC3H1,,,,N4BP2L1,,PTPRC,,,,,IL12RB1,,,,,,,,,KCTD20,,PPP1CB,,,,,MYH9,,CEBPD,,GNPAT,,,,
,,RAE1,HSPA9,GRB2,,,,,,IFITM1,,EZR,H2AFY,RPL27,GPS1,,ETS1,,UQCRC1,KIR2DL3,METTL9,,SUCLG1,,KAT7,NELFE,,,,ZNF585A,,,,NAP1L1,,PYCARD,,,,,IL27RA,,,,,,,,,KIF20B,,PPP1R12A,,,,,MYL12A,,CENPC,,GPN1,,,,
,,RASGRP2,HSPB11,GRK2,,,,,,IFNG,,FAM111A,H3F3A,RPL29,GPSM3,,FAM162A,,VPS16,KLRD1,MIEN1,,SUPT5H,,KIAA0355,NFKBID,,,,ZYX,,,,NFAT5,,PYM1,,,,,ILF2,,,,,,,,,KLHDC4,,PRPF18,,,,,MYO9B,,CEP350,,GPR65,,,,
,,RBBP7,IKBKB,GZMK,,,,,,IFT20,,FAM122B,HAVCR2,RPL3,GRPEL1,,FAM207A,,WBP1,KRR1,MPC1,,TBRG1,,KIF22,NGDN,,,,,,,,NIN,,RAB11B,,,,,IQGAP2,,,,,,,,,KLHL24,,PSMC2,,,,,NDUFA13,,CEP57,,GPS1,,,,
,,RIC8A,IL16,H1FX,,,,,,IGFBP7,,FAM200B,HCST,RPL41,GSE1,,FAM32A,,WDR83OS,KTN1,MRPL1,,TCERG1,,KMT2C,NME2,,,,,,,,NOL10,,RAB4B,,,,,JMJD1C,,,,,,,,,KLRK1,,PSMC4,,,,,NDUFAF4,,CEP78,,GPSM3,,,,
,,RLIM,ILF3,H3F3B,,,,,,ISG15,,FAM50A,HDAC2,RPLP1,GSPT1,,FASTK,,XRN1,LAP3,MRPL47,,TIMM17B,,KPNA2,NOSIP,,,,,,,,NUB1,,RAB8A,,,,,JMJD6,,,,,,,,,KPNB1,,PSMD14,,,,,NEDD8,,CERK,,GTPBP4,,,,
,,RNF115,IMPDH2,HAX1,,,,,,ISOC2,,FASTK,HDAC7,RPS18,GYPC,,FCER1G,,XRN2,LAPTM4A,MRPS2,,TM9SF2,,KRCC1,NPM1,,,,,,,,NUDT5,,RANBP3,,,,,KANSL1,,,,,,,,,LBR,,PSMD6,,,,,NIP7,,CERS2,,H3F3A,,,,
,,RNPS1,INIP,HELZ,,,,,,ITGB1,,FBXW7,HLA-DPB1,RPS26,H2AFJ,,FDFT1,,YTHDF2,LARS,MRPS21,,TPGS1,,LBR,NUDT1,,,,,,,,NUTF2,,RBM33,,,,,KIAA0355,,,,,,,,,LENG8,,PSMF1,,,,,NNT,,CFAP20,,HACD4,,,,
,,RPL6,IPO5,HERPUD1,,,,,,IVNS1ABP,,FCGR3A,HMGB1,RSL1D1,H2AFV,,FDX1,,ZBTB20,LAX1,MRPS26,,TPM3,,LETMD1,ODC1,,,,,,,,NUTM2B-AS1,,RHOG,,,,,KIR3DL2,,,,,,,,,LPIN2,,PSMG2,,,,,NPRL2,,CFL1,,HAX1,,,,
,,RSBN1,IRF7,HIGD1A,,,,,,JMY,,FCMR,HMGB2,SBF2,HEBP2,,FHL3,,ZFAND3,LCP2,MZT2A,,TPST2,,LGALS1,P4HB,,,,,,,,OSBPL9,,RIOK3,,,,,KXD1,,,,,,,,,LSM8,,PTAR1,,,,,NUBP1,,CGGBP1,,HDAC2,,,,
,,RSL1D1,ISOC2,HNRNPA2B1,,,,,,JOSD2,,FCRL3,HMOX2,SEC11C,HERPUD2,,FLII,,ZNRD1,LINC-PINT,NAA38,,TSC2,,LRP10,PARK7,,,,,,,,OXA1L,,RNF125,,,,,LAP3,,,,,,,,,LST1,,PTPN12,,,,,NUDC,,CHCHD2,,HELZ,,,,
,,RSRP1,ITFG2,HNRNPF,,,,,,JUN,,FGFR1OP2,HNRNPA3,SF3B5,HIPK1,,FNTA,,,LINC00528,NACA,,TSC22D4,,LSM5,PDIA6,,,,,,,,PAFAH1B1,,RNF187,,,,,LEPROTL1,,,,,,,,,MAGOH,,PTPRA,,,,,NUDT14,,CHD1,,HES6,,,,
,,SCFD1,ITM2B,HNRNPR,,,,,,KARS,,FNIP1,HNRNPH1,SH3KBP1,HM13,,GATAD1,,,LINC01116,NAP1L1,,TSEN54,,LYPLA1,PGAM1,,,,,,,,PDCD4,,ROCK1,,,,,LINC-PINT,,,,,,,,,MAP2K2,,PTPRJ,,,,,OSTC,,CHD3,,HIGD2A,,,,
,,SEC14L1,JOSD2,HSPA9,,,,,,KDM5B,,FOSB,HNRNPK,SLC38A10,HMGB2,,GGCT,,,LMO4,NDUFC1,,TSPAN32,,LYRM1,PKM,,,,,,,,PDCD6IP,,RPL24,,,,,LPCAT1,,,,,,,,,MAPRE1,,PUF60,,,,,PARL,,CHMP1A,,HIRIP3,,,,
,,SERPINB9,JPX,IDH3B,,,,,,KHDRBS1,,FTH1,HNRNPU,SLC39A8,HMGN2,,GID8,,,LSP1,NDUFV2,,UTP18,,MBNL1,POLE4,,,,,,,,PDE4D,,RPL36,,,,,LPXN,,,,,,,,,MAPRE2,,PYM1,,,,,PCID2,,CHMP2A,,HLA-E,,,,
,,SESN1,KANSL1,IFNGR1,,,,,,KIAA0319L,,FTL,HPCAL1,SMCR5,HMGN3,,GIMAP4,,,M6PR,NME1,,VPS4A,,MCTP2,POP7,,,,,,,,PFDN5,,RPL37,,,,,LSM5,,,,,,,,,METRNL,,QARS,,,,,PDCD10,,CHST12,,HMOX2,,,,
,,SF1,KBTBD2,IKZF1,,,,,,KIDINS220,,FYTTD1,ICAM3,SNW1,HMGN4,,GLRX5,,,MAFF,NME2,,WDR1,,ME2,PPIA,,,,,,,,PHF21A,,RPL39,,,,,MAPK13,,,,,,,,,MEX3C,,RAB6A,,,,,PDCD6,,CHTOP,,HNRNPC,,,,
,,SFSWAP,KHDRBS1,IKZF3,,,,,,KLRF1,,GDI1,IDS,SNX6,HNRNPA1,,GLS,,,MAGOH,NOP10,,ZNF24,,MED21,PPIB,,,,,,,,PHF3,,RPS6KA5,,,,,MCUR1,,,,,,,,,MFF,,RAD50,,,,,PDLIM2,,CIB1,,HNRNPD,,,,
,,SFT2D1,KLF12,IL16,,,,,,KLRK1,,GIMAP1,IFT20,SPPL2A,HNRNPA2B1,,GLTP,,,MBD5,NTMT1,,ZNF281,,MGRN1,PPIL3,,,,,,,,PKN1,,SECISBP2L,,,,,MDH2,,,,,,,,,MGAT1,,RHOT2,,,,,PFN1,,CIRBP,,HNRNPK,,,,
,,SLC25A20,KLHL24,ILKAP,,,,,,KRI1,,GLTP,IGBP1,SRPK2,HNRNPC,,GMCL1,,,MED23,NUDC,,ZNF580,,MIB2,PPM1G,,,,,,,,PLEKHA1,,SERINC1,,,,,MKNK2,,,,,,,,,MOB1A,,RIPK2,,,,,PGD,,CLEC11A,,HNRNPUL2,,,,
,,SLC35A3,LAMTOR2,IMP3,,,,,,LAIR2,,GORASP2,ILF2,SRRM1,HNRNPD,,GNAI3,,,MED30,NUDT1,,ZNF827,,MICU2,PRPF38B,,,,,,,,PNISR,,SF3A2,,,,,MPHOSPH8,,,,,,,,,MOB2,,RNF216,,,,,PLD3,,CLINT1,,HOPX,,,,
,,SLC35E1,LCOR,ING3,,,,,,LAMTOR4,,GPATCH3,INTS12,SRSF3,HNRNPK,,GNG5,,,METTL17,NUTF2,,,,MRPL10,PRPF40A,,,,,,,,PNRC1,,SFPQ,,,,,MRPS18A,,,,,,,,,MORF4L2,,RPS6KB2,,,,,PLGRKT,,CLN3,,ICAM2,,,,
,,SMARCC2,LEPROT,IP6K1,,,,,,LDHB,,GPSM3,INTS6,SRSF7,HP1BP3,,GOLGA2,,,MGAT1,NXT2,,,,MRPL51,PRPF4B,,,,,,,,POP5,,SLC30A7,,,,,MSRA,,,,,,,,,MRPL43,,RRBP1,,,,,PNKP,,CLPTM1,,IDI1,,,,
,,SMG1,LINC00623,IRF1,,,,,,LLPH,,GRB2,ISG15,ST13,HSD17B10,,GPATCH2L,,,MORF4L2,OAZ1,,,,MRPS12,PRSS23,,,,,,,,PPP1R12A,,SLC39A8,,,,,MTHFD2,,,,,,,,,MRPS24,,RSL1D1,,,,,POFUT2,,CLSTN3,,IER3IP1,,,,
,,SMIM10L1,LINC01578,IRF2,,,,,,LRCH3,,GSE1,ISG20,STAT1,HSP90AA1,,GPR65,,,MPC1,ODC1,,,,MRPS33,PSMA5,,,,,,,,PPP1R35,,SMAD5,,,,,MZT2A,,,,,,,,,MYADM,,RSL24D1,,,,,POLR2E,,CLTA,,IFFO1,,,,
,,SNRPB,LITAF,ISG15,,,,,,LSM3,,GSPT1,ITGA4,TAF7,HSP90AB1,,GSN,,,MPC2,OLA1,,,,MTDH,PTPN1,,,,,,,,PPP2CA,,SMARCA2,,,,,NAA38,,,,,,,,,NAA20,,RSU1,,,,,POLR2G,,CMTM6,,IKBKG,,,,
,,SNW1,LMNA,ISG20L2,,,,,,LSP1,,GSTP1,JARID2,TAOK1,HSP90B1,,GZMM,,,MRPL16,PAIP2,,,,MYDGF,QARS,,,,,,,,PPP4R3A,,SMARCA5,,,,,NAP1L1,,,,,,,,,NCOR1,,SAR1A,,,,,POLR2J,,CNBP,,IL2RG,,,,
,,SOCS2,LRPAP1,ITSN2,,,,,,LUC7L2,,GTF2B,JMJD6,TMED9,HSPA5,,HBD,,,MRPS12,PCIF1,,,,MYL12A,RAB11B,,,,,,,,PRDX1,,SMIM4,,,,,NAP1L4,,,,,,,,,NDUFA5,,SARS,,,,,POMC,,CNDP2,,IREB2,,,,
,,SPPL2A,M6PR,IVNS1ABP,,,,,,LY6E,,GTPBP1,JTB,TMEM263,HSPA8,,HCLS1,,,MRPS16,PCNA,,,,MZT2A,RANGRF,,,,,,,,PRDX3,,SMKR1,,,,,NASP,,,,,,,,,NDUFA7,,SCAF11,,,,,PPIB,,CNIH1,,ITGA4,,,,
,,SRPRA,MADD,JUND,,,,,,MAD1L1,,GZMA,KDELR2,TMEM59,HSPD1,,HERPUD1,,,MRPS21,PDE4D,,,,NAA10,RAP1B,,,,,,,,PRKAR1A,,SRM,,,,,NBEAL1,,,,,,,,,NDUFS2,,SCAF8,,,,,PPIL2,,COMMD2,,ITGB2,,,,
,,SSR1,MAP3K8,KANSL1,,,,,,MAGOH,,H2AFZ,KDM5A,TNFRSF25,HUWE1,,HIPK1,,,MRPS5,PDLIM1,,,,NAP1L4,RAPGEF6,,,,,,,,PRMT1,,SSBP1,,,,,NCL,,,,,,,,,NECAP1,,SDF2,,,,,PPP1CA,,COMMD5,,IVNS1ABP,,,,
,,STARD7,MAPRE1,KLHDC4,,,,,,MBP,,H3F3B,KIF5B,TRMT2A,IDH3G,,HIRIP3,,,MTERF4,PIK3CD,,,,NCBP2,RBMS1,,,,,,,,PRRC2C,,SSR1,,,,,NDUFA6,,,,,,,,,NELFE,,SEC22B,,,,,PPP2R1A,,COMT,,JAK1,,,,
,,STAT3,MCRS1,KRT10,,,,,,MDH1,,HAT1,KLRC1,TRPC4AP,IFFO1,,HIST2H2AC,,,MTHFD2L,PIK3R5,,,,NCKAP1L,RGS10,,,,,,,,PSMG2,,STIM2,,,,,NDUFAF2,,,,,,,,,NFE2L2,,SEC62,,,,,PPP2R5C,,COPE,,JAK3,,,,
,,STAT6,MED13,LMAN1,,,,,,MED15,,HCST,KLRF1,U2AF2,IFIT2,,HLA-B,,,MYL12B,PKM,,,,NCR3,RGS19,,,,,,,,PTBP1,,SUPT20H,,,,,NDUFAF3,,,,,,,,,NFKB2,,SECISBP2L,,,,,PQBP1,,COPS4,,JARID2,,,,
,,STK26,MED31,LRIF1,,,,,,MED27,,HDGF,LAIR2,UBN1,IFITM1,,HLA-DQB1,,,MZT2A,PLEKHJ1,,,,NDEL1,RHEB,,,,,,,,PTPN4,,TAF7,,,,,NDUFB1,,,,,,,,,NFKBIB,,SETX,,,,,PRCP,,CORO1A,,JOSD2,,,,
,,STOM,MED6,LSP1,,,,,,MFF,,HEXA,LCOR,UBP1,IGBP1,,HLA-DRB1,,,NAA10,POLDIP3,,,,NDUFB8,RING1,,,,,,,,PUF60,,TCP11L2,,,,,NELFE,,,,,,,,,NFYB,,SF3B2,,,,,PREX1,,COTL1,,KANSL1,,,,
,,STX16,MEX3C,MAD1L1,,,,,,MIF,,HIGD1A,LIMD2,UQCC2,ISOC2,,HLA-E,,,NACA,PPIA,,,,NDUFS3,ROMO1,,,,,,,,PYCARD,,TET2,,,,,NMI,,,,,,,,,NGRN,,SF3B4,,,,,PRMT1,,COX7C,,KAT6A,,,,
,,SUN2,MFSD14C,MAP2K2,,,,,,MMADHC,,HLA-DQB1,LIME1,USE1,ITCH,,HMGB2,,,NDUFA13,PPIH,,,,NFATC2IP,RPL14,,,,,,,,RAB28,,TGFB1,,,,,NPM1,,,,,,,,,NIP7,,SH3YL1,,,,,PRR14,,COX8A,,KDM5C,,,,
,,SZRD1,MRPL40,MAP2K7,,,,,,MRPL11,,HNRNPA2B1,LMBR1L,USF2,ITGB1BP1,,HNRNPA2B1,,,NDUFB1,PPP4R3B,,,,NIPBL,RPL17,,,,,,,,RAB2A,,TIMM8B,,,,,NRBF2,,,,,,,,,NPEPPS,,SLC25A11,,,,,PSMB5,,CPNE1,,KIF5B,,,,
