ATF1_(+),ATF3_(+),ATF4_(+),ATF5_(+),BACH1_(+),BCL11B_(+),BCLAF1_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CHD1_(+),CLOCK_(+),CREB1_(+),CREB3_(+),CREB3L2_(+),CREM_(+),DBP_(+),E2F3_(+),E2F4_(+),E2F6_(+),EGR1_(+),ELF1_(+),ELF2_(+),ELF4_(+),ELK1_(+),ELK3_(+),ELK4_(+),EOMES_(+),EP300_(+),ESRRA_(+),ETS1_(+),ETV3_(+),ETV6_(+),FLI1_(+),FOS_(+),FOSB_(+),FOSL2_(+),FOXJ2_(+),FOXO1_(+),GABPA_(+),GABPB1_(+),GATA3_(+),GATAD1_(+),HDAC2_(+),HMGA1_(+),HOXA10_(+),HTATIP2_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),IRF1_(+),IRF4_(+),IRF7_(+),IRF8_(+),IRF9_(+),JUN_(+),JUNB_(+),JUND_(+),KLF10_(+),KLF12_(+),KLF3_(+),KLF9_(+),KMT2B_(+),MAFF_(+),MAFG_(+),MAFK_(+),MAX_(+),MAZ_(+),MBD2_(+),MECP2_(+),MLX_(+),MYC_(+),MZF1_(+),NFATC2_(+),NFIL3_(+),NFKB1_(+),NFKB2_(+),NFYC_(+),NR2C2_(+),NR3C1_(+),PHF1_(+),PHF20_(+),POU2F1_(+),PURA_(+),RARA_(+),REL_(+),RELB_(+),RFX5_(+),RFXANK_(+),RXRA_(+),RXRB_(+),SATB1_(+),SMARCC2_(+),SP1_(+),SP3_(+),SREBF2_(+),STAT1_(+),TBP_(+),TBX21_(+),TCF12_(+),TCF3_(+),TFDP1_(+),TFDP2_(+),TFEB_(+),THAP1_(+),THAP11_(+),USF2_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB14_(+),ZBTB21_(+),ZBTB25_(+),ZBTB33_(+),ZBTB37_(+),ZBTB7A_(+),ZEB1_(+),ZFX_(+),ZFY_(+),ZNF100_(+),ZNF25_(+),ZNF267_(+),ZNF407_(+),ZNF431_(+),ZNF518A_(+),ZNF580_(+),ZNF611_(+),ZNF740_(+),ZNF770_(+)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDCD6IP,,,,,,,,,,,,,,,,,,,,,,PHAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TERF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDCD7,,,,,,,,,,,,,,,,,,,,,,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TES,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDE4A,,,,,,,,,,,,,,,,,,,,,,PHC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TET3,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDE4D,,,,,,,,,,,,,,,,,,,,,,PHC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TFDP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDE7A,,,,,,,,,,,,,,,,,,,,,,PHF11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGFBR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDHA1,,,,,,,,,,,,,,,,,,,,,,PHF12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGFBR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDIA3,,,,,,,,,,,,,,,,,,,,,,PHF14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGFBRAP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDK1,,,,,,,,,,,,,,,,,,,,,,PHF19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGIF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDLIM2,,,,,,,,,,,,,,,,,,,,,,PHF20L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGOLN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDP1,,,,,,,,,,,,,,,,,,,,,,PHF21A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THAP6,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDPK1,,,,,,,,,,,,,,,,,,,,,,PHF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THOC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDS5A,,,,,,,,,,,,,,,,,,,,,,PHF8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THRAP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDXDC1,,,,,,,,,,,,,,,,,,,,,,PHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUMPD3-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDXK,,,,,,,,,,,,,,,,,,,,,,PHLDA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDZD11,,,,,,,,,,,,,,,,,,,,,,PIAS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIAL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEF1,,,,,,,,,,,,,,,,,,,,,,PIBF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIPARP,,,,,,,,,,,,,,,,,,,,,,,,,,,,PELI1,,,,,,,,,,,,,,,,,,,,,,PICALM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,PELO,,,,,,,,,,,,,,,,,,,,,,PIK3CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERP,,,,,,,,,,,,,,,,,,,,,,PIK3R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,PET100,,,,,,,,,,,,,,,,,,,,,,PIK3R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TM9SF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFDN2,,,,,,,,,,,,,,,,,,,,,,PIM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFDN4,,,,,,,,,,,,,,,,,,,,,,PIN4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMCO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFDN5,,,,,,,,,,,,,,,,,,,,,,PIP4K2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMED10,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFDN6,,,,,,,,,,,,,,,,,,,,,,PIP5K1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMED4,,,,,,,,,,,,,,,,,,,,,,,,,,,,PGBD2,,,,,,,,,,,,,,,,,,,,,,PITPNA-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM127,,,,,,,,,,,,,,,,,,,,,,,,,,,,PGRMC2,,,,,,,,,,,,,,,,,,,,,,PITPNC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM161A,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHACTR2,,,,,,,,,,,,,,,,,,,,,,PKM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM165,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHAX,,,,,,,,,,,,,,,,,,,,,,PKN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM170A,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHF10,,,,,,,,,,,,,,,,,,,,,,PKNOX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM183A,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHF11,,,,,,,,,,,,,,,,,,,,,,PLCL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM234,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHF19,,,,,,,,,,,,,,,,,,,,,,PLCXD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM251,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHF20,,,,,,,,,,,,,,,,,,,,,,PLEKHA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM30A,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHF20L1,,,,,,,,,,,,,,,,,,,,,,PLEKHF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM38B,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHF3,,,,,,,,,,,,,,,,,,,,,,PLEKHO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM41A,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHF6,,,,,,,,,,,,,,,,,,,,,,PLGRKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM41B,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHIP,,,,,,,,,,,,,,,,,,,,,,PMAIP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM50A,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHLDA1,,,,,,,,,,,,,,,,,,,,,,PMEPA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM64,,,,,,,,,,,,,,,,,,,,,,,,,,,,PI4KB,,,,,,,,,,,,,,,,,,,,,,PMM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM71,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIF1,,,,,,,,,,,,,,,,,,,,,,PMPCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIGBOS1,,,,,,,,,,,,,,,,,,,,,,PNISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMOD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIGT,,,,,,,,,,,,,,,,,,,,,,PNKP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMSB4X,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIGV,,,,,,,,,,,,,,,,,,,,,,PNN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMX4,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIH1D1,,,,,,,,,,,,,,,,,,,,,,PNO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TNFAIP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIK3R1,,,,,,,,,,,,,,,,,,,,,,PNPLA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TNKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIM1,,,,,,,,,,,,,,,,,,,,,,PNPLA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TNKS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIM3,,,,,,,,,,,,,,,,,,,,,,PNRC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TNPO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PISD,,,,,,,,,,,,,,,,,,,,,,PNRC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TNRC18,,,,,,,,,,,,,,,,,,,,,,,,,,,,PITHD1,,,,,,,,,,,,,,,,,,,,,,POGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TNRC6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,PITPNA,,,,,,,,,,,,,,,,,,,,,,POLDIP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TNRC6C,,,,,,,,,,,,,,,,,,,,,,,,,,,,PITPNB,,,,,,,,,,,,,,,,,,,,,,POLG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PITPNC1,,,,,,,,,,,,,,,,,,,,,,POLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOP2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,PKM,,,,,,,,,,,,,,,,,,,,,,POLR2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,PKN1,,,,,,,,,,,,,,,,,,,,,,POLR2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TP53BP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PKNOX1,,,,,,,,,,,,,,,,,,,,,,POLR2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TP53BP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLCG2,,,,,,,,,,,,,,,,,,,,,,POLR2F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPD52,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLEKHA2,,,,,,,,,,,,,,,,,,,,,,POLR2H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLEKHA3,,,,,,,,,,,,,,,,,,,,,,POLR2K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLEKHA5,,,,,,,,,,,,,,,,,,,,,,POLR3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPRG1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLEKHB2,,,,,,,,,,,,,,,,,,,,,,POMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLEKHF2,,,,,,,,,,,,,,,,,,,,,,PPHLN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPT1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLEKHJ1,,,,,,,,,,,,,,,,,,,,,,PPIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRA2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLEKHO1,,,,,,,,,,,,,,,,,,,,,,PPIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRAF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLIN2,,,,,,,,,,,,,,,,,,,,,,PPID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRAF7,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLP2,,,,,,,,,,,,,,,,,,,,,,PPIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLPP5,,,,,,,,,,,,,,,,,,,,,,PPIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRAPPC10,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLRG1,,,,,,,,,,,,,,,,,,,,,,PPIP5K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRAPPC11,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMAIP1,,,,,,,,,,,,,,,,,,,,,,PPM1G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRAPPC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMEPA1,,,,,,,,,,,,,,,,,,,,,,PPME1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRAPPC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMM2,,,,,,,,,,,,,,,,,,,,,,PPP1CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIM13,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMPCB,,,,,,,,,,,,,,,,,,,,,,PPP1CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIM22,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMS1,,,,,,,,,,,,,,,,,,,,,,PPP1R11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIM26,,,,,,,,,,,,,,,,,,,,,,,,,,,,PNISR,,,,,,,,,,,,,,,,,,,,,,PPP1R12A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIM33,,,,,,,,,,,,,,,,,,,,,,,,,,,,PNO1,,,,,,,,,,,,,,,,,,,,,,PPP1R12B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIM38,,,,,,,,,,,,,,,,,,,,,,,,,,,,PNRC1,,,,,,,,,,,,,,,,,,,,,,PPP1R15B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,PNRC2,,,,,,,,,,,,,,,,,,,,,,PPP1R16B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIM5,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLDIP3,,,,,,,,,,,,,,,,,,,,,,PPP1R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIM52,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLE3,,,,,,,,,,,,,,,,,,,,,,PPP1R21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIP12,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLG,,,,,,,,,,,,,,,,,,,,,,PPP1R3E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRPC4AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLM,,,,,,,,,,,,,,,,,,,,,,PPP2CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRPS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLR1D,,,,,,,,,,,,,,,,,,,,,,PPP2CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSC22D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLR1E,,,,,,,,,,,,,,,,,,,,,,PPP2R2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSG101,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLR2C,,,,,,,,,,,,,,,,,,,,,,PPP2R5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSPAN14,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLR2F,,,,,,,,,,,,,,,,,,,,,,PPP2R5C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSPAN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLR2H,,,,,,,,,,,,,,,,,,,,,,PPP3CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TTC14,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLR2K,,,,,,,,,,,,,,,,,,,,,,PPP3CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TTC39C,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLR3C,,,,,,,,,,,,,,,,,,,,,,PPP3CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TTF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLR3E,,,,,,,,,,,,,,,,,,,,,,PPP3R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUBA1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,POMP,,,,,,,,,,,,,,,,,,,,,,PPP4C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
