ARID3A_(+),ARID5B_(+),ARNTL_(+),ATF1_(+),ATF4_(+),ATF6B_(+),BATF_(+),BCL11B_(+),BCLAF1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CEBPG_(+),CREB1_(+),CREB3L2_(+),CREM_(+),CTCF_(+),CUX1_(+),DDIT3_(+),E2F4_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),FLI1_(+),FOS_(+),FOSB_(+),FOSL2_(+),FOXO3_(+),FOXP1_(+),GATA3_(+),GATAD1_(+),GATAD2A_(+),GTF2I_(+),HMBOX1_(+),HMG20B_(+),HMGA1_(+),HOXB2_(+),HSF1_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF2_(+),IRF3_(+),IRF7_(+),IRF8_(+),IRF9_(+),JUN_(+),JUNB_(+),JUND_(+),KLF2_(+),KLF3_(+),MAF_(+),MAFF_(+),MAX_(+),MGA_(+),MLX_(+),MXD1_(+),MXD4_(+),MYBL1_(+),NFATC2_(+),NFE2L2_(+),NFYC_(+),NR2C2_(+),NR3C1_(+),PBX2_(+),PHF20_(+),PRDM1_(+),PURA_(+),RUNX3_(+),RXRB_(+),SMARCC2_(+),SP3_(+),STAT1_(+),STAT3_(+),STAT6_(+),TAF6_(+),TBX21_(+),TCF7_(+),TFDP1_(+),TFDP2_(+),TFEB_(+),USF2_(+),VEZF1_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB43_(+),ZBTB7A_(+),ZFP91_(+),ZFX_(+),ZNF148_(+),ZNF224_(+),ZNF226_(+),ZNF274_(+),ZNF33A_(+),ZNF350_(+),ZNF429_(+),ZNF480_(+),ZNF518A_(+),ZNF580_(+),ZNF600_(+)
,,,,,,,,DCAF13,,USP28,HSPA9,MAX,,,,,,,,,CD3E,ELF1,,MTERF2,,CENPK,,HLA-DRB5,,,,,HSPA5,,,,,,,HP1BP3,,EIF2B5,,,DNAJB6,,KLRG1,,,MT2A,,,CHMP3,EIF3G,CNOT7,RPS4Y1,,,,,,,,,,,,UBB,,PIN4,,FCER1G,,,CD7,,,,,,PRKAR1A,,RHOC,,MT2A,,,,,DNAJB9,CHCHD2,CCT8,,EIF3H,,,,,,,,,,,NME2,PRRC2C,
,,,,,,,,DDOST,,,HSPB11,MED23,,,,,,,,,CD46,ELF2,,NAA38,,CFL1,,HNRNPA1,,,,,HSPB11,,,,,,,ILF3,,EIF3H,,,DNAJC19,,KMT2E-AS1,,,MTERF4,,,CHTOP,EIF3I,COPZ1,RPS5,,,,,,,,,,,,UBE2N,,PITPNC1,,FDX1,,,CDC37,,,,,,PRMT2,,RORA,,NASP,,,,,DNAJC10,CHCHD5,CCZ1,,EIF6,,,,,,,,,,,NRDC,PSMB6,
,,,,,,,,DDRGK1,,,IDI1,MED4,,,,,,,,,CD63,ELOVL5,,NAA60,,CHI3L2,,HPS4,,,,,IDH2,,,,,,,ISCU,,EIF3K,,,DNAJC7,,LAG3,,,MX1,,,CLPP,EIF4A1,CREBRF,RPS6,,,,,,,,,,,,UBL5,,PPM1G,,GLS,,,CDC42SE1,,,,,,PSMB7,,RPL3,,NCL,,,,,DNAJC15,CHCHD7,CD247,,ELOVL1,,,,,,,,,,,NUCB1,PYURF,
,,,,,,,,DDX24,,,IFT20,MRPL33,,,,,,,,,CD79B,ERGIC3,,NCL,,CHMP3,,HSP90AA1,,,,,IDI1,,,,,,,ITGB2,,EMC7,,,DNTTIP2,,LAT,,,NDUFB4,,,COA5,EIF4A2,CSNK1D,RPS7,,,,,,,,,,,,UBTF,,PRPS1,,GMIP,,,CDK11A,,,,,,PSMD7,,SAP30BP,,NME2,,,,,DOCK11,CHD2,CD44,,EMC4,,,,,,,,,,,NUFIP2,RBCK1,
,,,,,,,,DDX5,,,IKZF1,MRPL38,,,,,,,,,CDC42SE2,ETS1,,NEIL1,,CHMP5,,HSPA5,,,,,IMPDH1,,,,,,,ITPA,,ENY2,,,DPM1,,LSM12,,,NDUFS6,,,COMMD5,EIF4EBP1,CTDNEP1,RPS9,,,,,,,,,,,,ZNF644,,PTPMT1,,GNB1,,,CDK2AP2,,,,,,PTK2B,,SCAMP4,,NOLC1,,,,,DPEP2,CKLF,CD53,,ERLEC1,,,,,,,,,,,NUTM2A-AS1,RBM25,
,,,,,,,,DENND1C,,,IMMT,MRPS18B,,,,,,,,,CDIP1,EXOC5,,NR4A2,,CHURC1,,HYOU1,,,,,KRTCAP2,,,,,,,JTB,,EP400,,,DPM3,,MDM2,,,NDUFV1,,,COMT,EIF4G2,CXXC5,SF3B6,,,,,,,,,,,,ZNF652,,RHEB,,GNL1,,,CDYL,,,,,,PTP4A2,,SENP5,,NUDC,,,,,DPH3,CLEC2B,CDC26,,EVI2B,,,,,,,,,,,PA2G4,REST,
,,,,,,,,DENND4A,,,IMPDH2,MVD,,,,,,,,,CDK2AP2,FAM107B,,NSRP1,,CISD3,,IFRD1,,,,,LBR,,,,,,,KCNAB2,,ERBIN,,,DTYMK,,MED10,,,NONO,,,COPE,EIF5A,CYFIP2,SFPQ,,,,,,,,,,,,,,RPN2,,GNPTAB,,,CHD6,,,,,,PYHIN1,,SHISA5,,NUP210,,,,,EID1,CLPP,CDV3,,FAAP20,,,,,,,,,,,PAPOLA,RHOG,
,,,,,,,,DESI1,,,INSIG1,NAE1,,,,,,,,,CEBPZ,FAM199X,,NUDC,,CLDND1,,ISCA1,,,,,LIMD2,,,,,,,KDM3A,,ESYT2,,,ECHDC1,,MIA2,,,NUDC,,,COQ10B,EPB41L4A-AS1,DDT,SMAP2,,,,,,,,,,,,,,RTN4,,GPATCH8,,,CHD9,,,,,,RAB27A,,SNHG6,,ORMDL1,,,,,EIF3G,CLSTN1,CENPK,,FKBP11,,,,,,,,,,,PCNX4,RMND5A,
,,,,,,,,DNAJA2,,,ITPRIP,NDUFA7,,,,,,,,,CEP78,FAM207A,,PARP9,,CLEC2B,,JMJD6,,,,,LPP,,,,,,,KIF2A,,FAAP20,,,EIF3D,,MMADHC,,,OTUB1,,,COX20,ERP29,DDX17,SNHG5,,,,,,,,,,,,,,SH3GLB1,,GTF3C1,,,CHMP1A,,,,,,RBM5,,SNX5,,PA2G4,,,,,EIF3H,CLTA,CFL1,,FTH1,,,,,,,,,,,PFN1,RNF113A,
,,,,,,,,DNAJC1,,,JAK1,NDUFC2,,,,,,,,,CHMP2B,FAM50A,,PCNX4,,CLK3,,JUN,,,,,LRCH4,,,,,,,KIF5B,,FAM192A,,,EIF3H,,MVB12A,,,PANK2,,,COX5B,EVI2B,DDX5,SNRPB,,,,,,,,,,,,,,SIRT7,,H3F3A,,,CHMP2A,,,,,,RNF181,,SRGN,,PAGR1,,,,,EIF3J,CLTB,CHMP1A,,GADD45B,,,,,,,,,,,PMAIP1,ROMO1,
,,,,,,,,DPP9,,,KDM5B,NDUFS5,,,,,,,,,CHURC1,FBXO6,,PPIB,,CLTB,,JUNB,,,,,LUC7L2,,,,,,,KIR2DL3,,FAM217B,,,EIF3L,,NACA,,,PCBP2,,,COX7A2,FAM162A,DDX6,SRSF5,,,,,,,,,,,,,,SKA2,,HADHA,,,CHMP5,,,,,,SARS,,STX8,,PARK7,,,,,EIF3M,CMTM6,CHMP3,,GAS5,,,,,,,,,,,POLR2J,RPL24,
,,,,,,,,DPYSL2,,,KIAA0355,NME3,,,,,,,,,CMTM6,FNBP1,,PPP3R1,,CNOT1,,KAT6A,,,,,MATK,,,,,,,KRAS,,FAM32A,,,EIF4A1,,NAP1L1,,,PIN1,,,COX7B,FAM32A,DENND2D,SRSF7,,,,,,,,,,,,,,SLC9A3R1,,HBA1,,,CISD2,,,,,,SKP1,,SUN2,,PGAM1,,,,,EIF4B,CNOT2,CHTOP,,GATA3,,,,,,,,,,,PPP3CA,RPL32,
,,,,,,,,DYNC1H1,,,KIF5B,NUDT22,,,,,,,,,CNBP,FOS,,PRAF2,,CNTRL,,KIR2DL1,,,,,MED10,,,,,,,LAP3,,FBXO7,,,EIF5,,NEAT1,,,PIP4K2A,,,COX8A,FAM50A,DGKZ,STARD3,,,,,,,,,,,,,,SSBP1,,HMGN3,,,CISD3,,,,,,SLU7,,TAX1BP3,,PKM,,,,,EIF5A2,COA6,CISD2,,GBP2,,,,,,,,,,,PRRC2C,RPL36A,
,,,,,,,,EBPL,,,KIR2DL1,NUP107,,,,,,,,,CNIH1,FUBP1,,PRPF38B,,COMMD2,,KLF6,,,,,MED11,,,,,,,MAPK1IP1L,,FCRL6,,,EIF5A2,,NKG7,,,PPA1,,,CSGALNACT2,FAU,DNAJB12,SUN2,,,,,,,,,,,,,,STAT6,,HNRNPA1,,,CLIC1,,,,,,SMAP2,,TGFBR3,,POLR2J,,,,,ENY2,COMMD3,CKLF,,GGCT,,,,,,,,,,,PSMA3-AS1,RPL7A,
,,,,,,,,EIF1,,,LAIR1,ORAI1,,,,,,,,,CNPY3,GABARAPL1,,PRPF6,,COPE,,KLF9,,,,,MED23,,,,,,,MARCKSL1,,FDX1,,,EIF6,,NPEPPS,,,PPP1R15A,,,CSNK1A1,FOS,DNAJC2,SZRD1,,,,,,,,,,,,,,STK4,,HNRNPA3,,,CLPTM1L,,,,,,SNF8,,TIAL1,,POMP,,,,,ERBB2,COPA,CKS2,,GLRX3,,,,,,,,,,,PSMA5,RPLP2,
,,,,,,,,EIF1AX,,,LAMTOR1,OSER1,,,,,,,,,COA6,GABARAPL2,,PSMB4,,COPS5,,KLRG1,,,,,MIF,,,,,,,MCL1,,FLI1,,,ELF1,,NQO2,,,PRSS57,,,CTBP1,FYN,DNAJC8,TMEM128,,,,,,,,,,,,,,SYNCRIP,,HNRNPF,,,CMC1,,,,,,SNHG3,,TINF2,,PPM1A,,,,,ERO1B,COPE,CLIC1,,GPBP1,,,,,,,,,,,PSMD7,RPS17,
,,,,,,,,EIF1AY,,,LAMTOR2,PANK2,,,,,,,,,COL6A2,GNPTAB,,PSMD6,,COPS9,,LARS,,,,,MKRN1,,,,,,,MCTS1,,FMNL1,,,ERH,,NR4A2,,,REST,,,CTBP2,G3BP2,DOCK2,TMEM230,,,,,,,,,,,,,,SYNE2,,HNRNPM,,,CMPK1,,,,,,SNRPB2,,TM9SF3,,PRELID1,,,,,EVL,CORO1A,CLTA,,GRK6,,,,,,,,,,,PTGDS,RSL24D1,
,,,,,,,,EIF3M,,,LARP7,PCED1B-AS1,,,,,,,,,COMT,GOLIM4,,RBBP4,,CORO1A,,LIMS1,,,,,MOB1A,,,,,,,MFNG,,FYN,,,ERP44,,NSUN3,,,RHOA,,,CUTA,GABARAPL2,DPP8,TOP1,,,,,,,,,,,,,,TAP1,,HNRNPR,,,CNPY3,,,,,,SOD2,,TMSB4X,,PRRC2A,,,,,EXOSC4,COX17,CMAS,,GZMB,,,,,,,,,,,PUM3,S100A6,
,,,,,,,,EIF4A2,,,LSM3,PDAP1,,,,,,,,,COPS3,GSDMD,,RNASEK,,COX20,,LPAR6,,,,,MORF4L1,,,,,,,NAP1L1,,G3BP2,,,EZR,,NUP107,,,RMND5A,,,CWC27,GADD45B,DSTN,TTC1,,,,,,,,,,,,,,THOC2,,HNRNPUL1,,,COASY,,,,,,SPATA13,,TOP2B,,PSMA6,,,,,F2R,COX5B,COPS3,,H1FX,,,,,,,,,,,RAB2A,SCP2,
,,,,,,,,ELF2,,,LSM8,PDIA6,,,,,,,,,COPS6,HBB,,RPLP2,,COX6B1,,LSM10,,,,,MRPL38,,,,,,,NDUFA2,,GATAD1,,,FAM107B,,NUP160,,,RPA2,,,CXXC5,GATA3,DYNC1H1,TUBA1A,,,,,,,,,,,,,,TMEM106C,,HP1BP3,,,COPE,,,,,,SRRM2,,TRAPPC10,,PSMC3,,,,,FBXO33,COX7A2,COPS9,,H2AFZ,,,,,,,,,,,RAD51C,SERBP1,
,,,,,,,,EMC10,,,M6PR,PFN1,,,,,,,,,COTL1,HBM,,RPS26,,CPQ,,MAPK8,,,,,MRPL52,,,,,,,NKTR,,GGNBP2,,,FAM192A,,ORMDL1,,,RPS29,,,CYCS,GDI2,EEF2,UBXN1,,,,,,,,,,,,,,TMEM107,,HTT,,,COX14,,,,,,SRSF7,,UBE2E1,,PUS7L,,,,,FBXW5,COX7B,COX20,,HEIH,,,,,,,,,,,RBM34,SH3BP1,
,,,,,,,,EMC4,,,MAP3K8,PICALM,,,,,,,,,COX5B,HEXB,,RPS4X,,CRELD2,,MBD5,,,,,MRPS28,,,,,,,NONO,,GIMAP2,,,FAM200B,,P4HB,,,S100B,,,DBI,GGA1,EIF1,UQCRH,,,,,,,,,,,,,,TMEM14A,,ICAM2,,,COX4I1,,,,,,STAT6,,UBE2V2,,PYCR2,,,,,FCER1G,COX7C,COX8A,,HES6,,,,,,,,,,,RNF167,SLC3A2,
,,,,,,,,EPS15,,,MCRIP1,PIH1D1,,,,,,,,,COX6C,HM13,,SCAF11,,CTBP2,,MRPL13,,,,,MT2A,,,,,,,NPM1,,GIMAP4,,,FBXO7,,PABPC1,,,SEC61B,,,DCAF11,GIGYF2,EIF3E,VDAC1,,,,,,,,,,,,,,TMPO,,IFNGR1,,,COX7B,,,,,,STK26,,URI1,,RAB11B,,,,,FCGR3A,COX8A,CPNE1,,HINT1,,,,,,,,,,,RPL34,SMCHD1,
,,,,,,,,ERBB2,,,MDH1,POLR1D,,,,,,,,,COX7A2L,HNRNPA1,,SLC39A10,,CUTA,,MZF1-AS1,,,,,NACA,,,,,,,OCIAD2,,GIT2,,,FKBP1A,,PACS1,,,SH3BP1,,,DCTN3,GIMAP6,EIF3L,XCL2,,,,,,,,,,,,,,TMX1,,IMPA1,,,CPSF6,,,,,,SZRD1,,UXS1,,RAC1,,,,,FDX1,CSRP1,CSNK2A1,,HMGN1,,,,,,,,,,,RPS13,SNRPD2,
,,,,,,,,ERGIC3,,,METTL9,POLR2H,,,,,,,,,COX7B,HSPA5,,SMS,,CWC15,,NACA,,,,,NAP1L1,,,,,,,PCF11,,GK5,,,FKBP2,,PCBP1,,,SLIRP,,,DCUN1D5,GNAS,EIF5,YKT6,,,,,,,,,,,,,,TP53I13,,IQGAP2,,,CREB3L2,,,,,,THUMPD1,,VCP,,RALY,,,,,FIBP,CUL2,CTSC,,HNRNPDL,,,,,,,,,,,RRBP1,SNX1,
,,,,,,,,ESYT1,,,MFNG,POLR2K,,,,,,,,,CST3,HYOU1,,SNRPD2,,CXXC5,,NDUFA13,,,,,NDUFA4,,,,,,,PEF1,,GLUD1,,,FOSL2,,PDPK1,,,SNX1,,,DDT,GNG10,EIF5A,YPEL3,,,,,,,,,,,,,,TUBA1B,,ITGB1BP1,,,CSNK1D,,,,,,TNIP2,,WDR61,,RANBP1,,,,,FKBP1A,CXCR4,CYBA,,IDH2,,,,,,,,,,,SARAF,SNX17,
,,,,,,,,F2R,,,MGMT,PPP1CC,,,,,,,,,CYB5B,IDS,,SNX4,,CYCS,,NFKBIA,,,,,NDUFB3,,,,,,,PHIP,,GNPTAB,,,GABARAPL2,,PIAS2,,,SP100,,,DDX21,GRK2,ELP5,YWHAZ,,,,,,,,,,,,,,TUBB,,ITGB2-AS1,,,CSNK2B,,,,,,TRNT1,,ZFP36,,REST,,,,,GCC2,CYB561A3,DBI,,IDI1,,,,,,,,,,,SDHAF2,SP100,
,,,,,,,,FAM49A,,,MLST8,PSMA1,,,,,,,,,CYLD,IER2,,SRP14,,CYLD,,NGLY1,,,,,NDUFB9,,,,,,,POGZ,,GSE1,,,GAPDH,,PIK3CD,,,SRP54,,,DDX39A,GSTP1,EML3,,,,,,,,,,,,,,,UBE2N,,KDELR2,,,CTBP1,,,,,,TYW3,,ZNF148,,REXO4,,,,,GMCL1,DAD1,DBNL,,IDS,,,,,,,,,,,SEC13,SP110,
,,,,,,,,FAM49B,,,MPC2,PSMB1,,,,,,,,,DAZAP2,IL4R,,SRSF9,,CYTH1,,NR4A2,,,,,NFKB2,,,,,,,POLR2J3,,GTF2F1,,,GATA3,,PLGRKT,,,SRSF10,,,DDX3X,GUK1,EML4,,,,,,,,,,,,,,,ZCCHC17,,KDM5A,,,CTCF,,,,,,UBA3,,ZNF276,,RHOC,,,,,GMFG,DAZAP2,DCTD,,IGFBP7,,,,,,,,,,,SELPLG,SRP54,
,,,,,,,,FAM53C,,,MRPL14,PSMB3,,,,,,,,,DBI,JARID2,,STAG2,,DBNL,,ORMDL1,,,,,NPM1,,,,,,,PPID,,HACD4,,,GATAD2A,,PPP1R15A,,,SSB,,,DDX5,H3F3B,ENC1,,,,,,,,,,,,,,,ZNF585A,,KIF2A,,,CTSD,,,,,,UGP2,,ZNF37A,,ROMO1,,,,,GNG5,DBF4,DDX21,,IGFLR1,,,,,,,,,,,SH3GLB1,SSB,
,,,,,,,,FBXO6,,,MRPL33,PSMC5,,,,,,,,,DDX21,JPX,,SUMO2,,DCAF10,,PCED1B-AS1,,,,,NUDT5,,,,,,,PPM1K,,HECTD1,,,GDI2,,PPP2CA,,,THOC2,,,DECR1,HAUS1,ENSA,,,,,,,,,,,,,,,ZYX,,KLF3,,,CWF19L2,,,,,,USP12,,ZNF800,,RPL3,,,,,GNPAT,DBNL,DDX5,,IL16,,,,,,,,,,,SIKE1,SSH2,
,,,,,,,,FKBP3,,,NCBP2,PSME2,,,,,,,,,DDX46,KLF12,,TERF1,,DDT,,PCIF1,,,,,OAZ2,,,,,,,PPP1CB,,HERC1,,,GHITM,,PPP4C,,,TMBIM6,,,DEF6,HIGD1A,EPRS,,,,,,,,,,,,,,,,,KLRC1,,,CXXC5,,,,,,USP48,,,,RPL34,,,,,GPAA1,DCAF13,DDX6,,INSIG1,,,,,,,,,,,SMC1A,SSNA1,
,,,,,,,,FLNA,,,NCKAP1L,RAD23A,,,,,,,,,DECR1,KLF3,,TLE4,,DDX17,,PDE4D,,,,,ORAI1,,,,,,,PPP2CA,,HERPUD2,,,GLRX5,,PPP6R1,,,TMED7,,,DGUOK,HINT1,ERI3,,,,,,,,,,,,,,,,,LAG3,,,CYB561D2,,,,,,VPS37B,,,,RPL36,,,,,GTF3C1,DCTN2,DENND2D,,JAZF1,,,,,,,,,,,SMC2,STRAP,
,,,,,,,,FNTA,,,NDUFS7,RBM3,,,,,,,,,DKC1,KRCC1,,TMEM14B,,DDX27,,PMAIP1,,,,,P4HB,,,,,,,PPP2R5C,,HIPK1,,,GNG2,,PRPF38B,,,TPR,,,DIAPH1,HLA-DPB1,ERLEC1,,,,,,,,,,,,,,,,,LAMTOR5,,,CYB5B,,,,,,VRK3,,,,RPL7,,,,,H2AFZ,DCXR,DHRS3,,KATNA1,,,,,,,,,,,SMS,TM9SF2,
,,,,,,,,GADD45B,,,NEMF,RNASEK,,,,,,,,,DNAJC3,KRT86,,TNFRSF1A,,DDX41,,PPP1R15A,,,,,PFN1,,,,,,,PPP3CA,,HMGN4,,,GNG5,,PRPSAP2,,,TRA2B,,,DNAJB6,HLA-DRB1,ERP29,,,,,,,,,,,,,,,,,LARP7,,,CYLD,,,,,,ZBTB16,,,,RPL7A,,,,,HACD4,DDA1,DNAJC19,,KIAA1191,,,,,,,,,,,SNAPIN,TMBIM6,
,,,,,,,,GBP4,,,NME3,RPL11,,,,,,,,,DPM3,LBH,,TRAF3IP3,,DDX6,,PSMB4,,,,,PGLS,,,,,,,PREPL,,HSP90AA1,,,GSN,,PRR5L,,,TSC22D3,,,DNAJB9,HLA-E,FAM117A,,,,,,,,,,,,,,,,,LMNB1,,,CYTIP,,,,,,ZFAND2B,,,,RPS10,,,,,HELZ2,DDT,DNM2,,KLF6,,,,,,,,,,,SNRNP27,TPT1,
,,,,,,,,GGPS1,,,OAZ1,RPS11,,,,,,,,,DPP8,LEPROTL1,,TRMT112,,DGUOK,,PSMD14,,,,,PHB,,,,,,,PRPF38B,,HSPD1,,,GTF3C6,,PSMA5,,,TYROBP,,,DNAJC10,HM13,FAM192A,,,,,,,,,,,,,,,,,LPP,,,DBNL,,,,,,ZRANB2,,,,SERBP1,,,,,HIRIP3,DDX18,DOCK8,,LAGE3,,,,,,,,,,,SPAG7,TRA2A,
,,,,,,,,GLG1,,,PAPOLA,RPS16,,,,,,,,,DSTN,LIMS1,,TRNAU1AP,,DNAJB1,,PTPN1,,,,,PHF1,,,,,,,PSMD13,,IFRD1,,,H2AFZ,,PTMA,,,UBAC2,,,DNAJC4,HMGB1,FAM49B,,,,,,,,,,,,,,,,,LRP10,,,DCK,,,,,,,,,,SF3A1,,,,,HM13,DDX21,DPP7,,LBR,,,,,,,,,,,ST3GAL4,TSC22D3,
,,,,,,,,GLOD4,,,PCBD1,RPS5,,,,,,,,,DTYMK,LINC-PINT,,TSN,,DNAJB9,,RAB1A,,,,,POMP,,,,,,,PTGES3,,IKZF1,,,HEXA,,PTPN18,,,UBB,,,DOCK11,HNRNPA1,FBXW5,,,,,,,,,,,,,,,,,LSM1,,,DDOST,,,,,,,,,,SF3B2,,,,,HMGN1,DDX27,DSTN,,LDHA,,,,,,,,,,,STAU1,TYROBP,
,,,,,,,,GMFB,,,PDCD4,SARAF,,,,,,,,,DUSP2,LINC00623,,TSSC4,,DNAJC7,,RACK1,,,,,PPM1B,,,,,,,PTPN4,,IL2RG,,,HMGN2,,RAB11FIP4,,,ZNF580,,,DPM3,HNRNPA2B1,FHL3,,,,,,,,,,,,,,,,,LSM3,,,DDX3X,,,,,,,,,,SH3BP2,,,,,HMGN2,DDX39B,DTYMK,,LEPROTL1,,,,,,,,,,,STK17A,UBE2B,
,,,,,,,,GNG2,,,PGK1,SMIM14,,,,,,,,,DUSP23,LSM1,,TWF2,,DYNC1H1,,RBM3,,,,,PRDX1,,,,,,,RAB11A,,ING4,,,HNRNPA1,,RACK1,,,,,,DUSP1,HNRNPC,FIP1L1,,,,,,,,,,,,,,,,,LYPLA2,,,DDX3Y,,,,,,,,,,SH3KBP1,,,,,HMGN3,DDX49,ECHS1,,LINC00623,,,,,,,,,,,STX4,UFC1,
,,,,,,,,GOLGA7,,,PIM1,SNHG5,,,,,,,,,EEF1D,LYAR,,UBE2F,,EBAG9,,RGCC,,,,,PRMT1,,,,,,,RAMP1,,INIP,,,HNRNPA3,,RAP1B,,,,,,EFCAB14,HSP90AB1,FLNA,,,,,,,,,,,,,,,,,MANF,,,DENND2D,,,,,,,,,,SLC39A7,,,,,HMGXB3,DDX50,EEF1B2,,LINC01578,,,,,,,,,,,SUMO1,UQCR10,
,,,,,,,,GOLGA8B,,,PLD3,SNRPA,,,,,,,,,EGLN2,LYPLA2,,VCP,,ECHS1,,RPL10,,,,,PRPF31,,,,,,,RBM39,,ISY1,,,HNRNPDL,,RASA3,,,,,,EIF1B,HUS1,FOXP1,,,,,,,,,,,,,,,,,MBNL1,,,DENND3,,,,,,,,,,SMARCA5,,,,,HNRNPA2B1,DEK,EEF1D,,LPXN,,,,,,,,,,,SUMO2,UXT,
,,,,,,,,GOLT1B,,,PMF1,SREK1,,,,,,,,,EIF2AK2,MAPK1IP1L,,WIPI2,,EDF1,,RPL12,,,,,PRPF4B,,,,,,,RING1,,ITFG1,,,HNRNPF,,RBBP7,,,,,,EIF2S3,HYOU1,G3BP2,,,,,,,,,,,,,,,,,ME2,,,DENR,,,,,,,,,,SMC4,,,,,HNRNPA3,DENND4C,EHD1,,LSM1,,,,,,,,,,,TCEA1,XRCC6,
,,,,,,,,GSPT1,,,POLD4,SRGN,,,,,,,,,EIF2S3,MARK3,,WTAP,,EIF1B,,RPL13A,,,,,PSMA3,,,,,,,RNF181,,JUN,,,HSBP1,,RGS3,,,,,,EIF3A,ICAM2,GALNT10,,,,,,,,,,,,,,,,,MEAF6,,,DESI1,,,,,,,,,,SNRNP200,,,,,HSP90B1,DFFA,EIF2B1,,LSM4,,,,,,,,,,,TES,ZC3H8,
,,,,,,,,H3F3B,,,PPHLN1,SRP19,,,,,,,,,EIF3F,MCRIP1,,XRCC5,,EIF3F,,RPL15,,,,,PSMD11,,,,,,,RNPS1,,KATNA1,,,HSP90B1,,RNMT,,,,,,EIF3D,ICAM3,GAPDH,,,,,,,,,,,,,,,,,MLEC,,,DGUOK,,,,,,,,,,SNRNP27,,,,,HSPA5,DNAJC1,EIF3D,,LTB,,,,,,,,,,,TM7SF3,ZNF292,
,,,,,,,,HLA-DRB1,,,PPP1CA,SRSF6,,,,,,,,,EIF3G,MCTS1,,YPEL3,,EIF3G,,RPL19,,,,,RACK1,,,,,,,ROCK1,,KCNAB2,,,HSPA8,,RPAP3,,,,,,EIF3H,ID2,GCHFR,,,,,,,,,,,,,,,,,MPPE1,,,DLST,,,,,,,,,,SNRPB,,,,,ID2,DNAJC7,EIF3E,,LUC7L2,,,,,,,,,,,TMUB1,ZNF580,
,,,,,,,,HPRT1,,,PPP4C,STK17A,,,,,,,,,EIF3J,MLF2,,YTHDC1,,EIF3H,,RPL21,,,,,RANBP1,,,,,,,RPL37A,,KDM5B,,,ILF2,,RPL12,,,,,,EIF5,IDI1,GHITM,,,,,,,,,,,,,,,,,MRPL33,,,DNAJA1,,,,,,,,,,SREK1IP1,,,,,IDI1,DNAJC9,EIF3J,,LY6E,,,,,,,,,,,TNRC6C,,
,,,,,,,,HSP90AB1,,,PRDX6,STK17B,,,,,,,,,EIF4EBP2,MOCS2,,ZNF431,,EIF3K,,RPL23,,,,,RASSF1,,,,,,,RTF1,,KLRC3,,,ITFG1,,RPL14,,,,,,ELF1,IFNAR1,GLOD4,,,,,,,,,,,,,,,,,MRPL43,,,DNAJC3,,,,,,,,,,SRSF7,,,,,IFNGR1,DNMT1,EIF4B,,MAP3K13,,,,,,,,,,,TPRKB,,
,,,,,,,,HSPH1,,,PRKACB,TAGLN2,,,,,,,,,EIF4H,MPRIP,,ZNF480,,EIF3L,,RPL24,,,,,RGS19,,,,,,,SCP2,,LPP,,,KHDRBS1,,RPL21,,,,,,ELP5,IFNGR1,GNAI2,,,,,,,,,,,,,,,,,MRPS10,,,DNTTIP2,,,,,,,,,,STOML2,,,,,IFT20,DPP9,EIF4E2,,MAP7D1,,,,,,,,,,,TPST2,,
,,,,,,,,IDS,,,PRKX,TCIRG1,,,,,,,,,EIF5B,MRPL48,,,,EIF4A2,,RPL27A,,,,,RPL10,,,,,,,SEC62,,LYPLA2,,,KRI1,,RPL22L1,,,,,,EMP3,IFRD1,GNAS,,,,,,,,,,,,,,,,,MRPS12,,,DOK1,,,,,,,,,,STX16,,,,,IKZF2,DSTN,EIF4H,,MCL1,,,,,,,,,,,TRIM52-AS1,,
,,,,,,,,IFI35,,,PRPF6,TGOLN2,,,,,,,,,ELF1,MRPS23,,,,ELF2,,RPL28,,,,,RPL10A,,,,,,,SELPLG,,MAP2K2,,,LEPROTL1,,RPL24,,,,,,EVI2B,IQGAP2,GPX4,,,,,,,,,,,,,,,,,MRPS34,,,DTYMK,,,,,,,,,,SZRD1,,,,,IL2RG,DUS1L,EIF5,,MCM3,,,,,,,,,,,TSPAN32,,
,,,,,,,,IFRD1,,,PTPN18,TLN1,,,,,,,,,ELF2,MRPS28,,,,EML4,,RPL29,,,,,RPL11,,,,,,,SERPINB9,,MAPK1IP1L,,,LITAF,,RPL26,,,,,,FASLG,IRF8,GRK2,,,,,,,,,,,,,,,,,MT1F,,,DYNLL1,,,,,,,,,,TAF7,,,,,ISG20L2,EBPL,EIF5B,,MCM7,,,,,,,,,,,TTC38,,
