ARNTL_(+),ASCL2_(+),ATF1_(+),ATF2_(+),ATF4_(+),ATF6_(+),BATF_(+),BCL11B_(+),BCLAF1_(+),BDP1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CEBPG_(+),CHD1_(+),CHURC1_(+),CREB1_(+),CREB3_(+),CREM_(+),CTCF_(+),CUX1_(+),CXXC1_(+),DDIT3_(+),DRAP1_(+),EGR1_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),ETV3_(+),FLI1_(+),FOS_(+),FOSB_(+),FOSL2_(+),FOXJ3_(+),FOXN2_(+),GATA3_(+),GATAD1_(+),HIF1A_(+),HMBOX1_(+),HMGA1_(+),HOXB2_(+),HSF1_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF2_(+),IRF3_(+),IRF7_(+),IRF8_(+),IRF9_(+),JUN_(+),JUNB_(+),JUND_(+),KLF11_(+),KLF13_(+),KLF2_(+),KLF3_(+),KLF6_(+),KLF9_(+),MAF_(+),MAFF_(+),MAX_(+),MAZ_(+),MECP2_(+),METTL14_(+),MTF2_(+),MXD4_(+),NFAT5_(+),NFATC2_(+),NFATC3_(+),NFE2L2_(+),NFKB1_(+),NFKB2_(+),NFYB_(+),NFYC_(+),NR1H2_(+),NR3C1_(+),NR4A1_(+),PHF20_(+),POU2F2_(+),PRDM1_(+),PURA_(+),RAD21_(+),REL_(+),RELB_(+),RFXANK_(+),RUNX1_(+),RUNX3_(+),RXRB_(+),SATB1_(+),SIRT6_(+),SMAD2_(+),SMAD3_(+),SOX4_(+),SP3_(+),SREBF2_(+),STAT1_(+),STAT6_(+),TAF1_(+),TAF6_(+),TBX21_(+),TFDP1_(+),THAP11_(+),THRA_(+),TP53_(+),UBP1_(+),USF2_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBED1_(+),ZBTB11_(+),ZBTB2_(+),ZBTB24_(+),ZBTB25_(+),ZBTB43_(+),ZBTB7A_(+),ZFX_(+),ZKSCAN1_(+),ZNF148_(+),ZNF160_(+),ZNF22_(+),ZNF493_(+),ZNF518A_(+),ZNF580_(+),ZNF791_(+)
,,,,,,,,ZNF585A,,,,,,,,,,,,,,,,,,,,,,,TAF7,,,,,,,,,,,,,,,,,,,,,,,,,,SNX14,PPP1R35,,,,SOS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC25A11,,,,,,,,SHKBP1,,,,,,,,,
,,,,,,,,ZNF638,,,,,,,,,,,,,,,,,,,,,,,TAP2,,,,,,,,,,,,,,,,,,,,,,,,,,SOCS3,PPP3R1,,,,SP100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC25A36,,,,,,,,SIGIRR,,,,,,,,,
,,,,,,,,ZNF644,,,,,,,,,,,,,,,,,,,,,,,TARSL2,,,,,,,,,,,,,,,,,,,,,,,,,,SOD2,PPP6R2,,,,SPCS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC50A1,,,,,,,,SIN3A,,,,,,,,,
,,,,,,,,ZNF655,,,,,,,,,,,,,,,,,,,,,,,TBC1D10C,,,,,,,,,,,,,,,,,,,,,,,,,,SPAG7,PQBP1,,,,SPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLF1,,,,,,,,SIPA1,,,,,,,,,
,,,,,,,,ZNF720,,,,,,,,,,,,,,,,,,,,,,,TBC1D5,,,,,,,,,,,,,,,,,,,,,,,,,,SPPL3,PRDX6,,,,SPON2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLTM,,,,,,,,SIRT7,,,,,,,,,
,,,,,,,,ZNF721,,,,,,,,,,,,,,,,,,,,,,,TBCA,,,,,,,,,,,,,,,,,,,,,,,,,,SQSTM1,PRF1,,,,SPPL2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARCA4,,,,,,,,SKAP2,,,,,,,,,
,,,,,,,,ZNF791,,,,,,,,,,,,,,,,,,,,,,,TBL1XR1,,,,,,,,,,,,,,,,,,,,,,,,,,SREK1,PRKAG2,,,,SPPL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARCA5,,,,,,,,SLC16A3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCEAL3,,,,,,,,,,,,,,,,,,,,,,,,,,SREK1IP1,PRKCQ,,,,SREK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARCC2,,,,,,,,SLC25A1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCEAL8,,,,,,,,,,,,,,,,,,,,,,,,,,SRP72,PRKCQ-AS1,,,,SRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARCE1,,,,,,,,SLC25A3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCOF1,,,,,,,,,,,,,,,,,,,,,,,,,,SRPRB,PRKD2,,,,SRP14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMC3,,,,,,,,SLC38A1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTA,,,,,,,,,,,,,,,,,,,,,,,,,,SRRM1,PRMT2,,,,SRRM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMC4,,,,,,,,SLC39A10,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TET2,,,,,,,,,,,,,,,,,,,,,,,,,,SRSF2,PRMT9,,,,SRSF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMCHD1,,,,,,,,SLC5A3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TFIP11,,,,,,,,,,,,,,,,,,,,,,,,,,SRSF3,PRR7,,,,SRSF5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMIM19,,,,,,,,SLC9A3R1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGFB1,,,,,,,,,,,,,,,,,,,,,,,,,,SRSF5,PRRC2C,,,,SRSF7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMS,,,,,,,,SLK,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGFBR1,,,,,,,,,,,,,,,,,,,,,,,,,,SRSF7,PRSS23,,,,SS18L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNCA,,,,,,,,SLMAP,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGFBR3,,,,,,,,,,,,,,,,,,,,,,,,,,SSB,PSMB4,,,,SSR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNF8,,,,,,,,SLU7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGS1,,,,,,,,,,,,,,,,,,,,,,,,,,SSR1,PSMG3,,,,STARD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNHG5,,,,,,,,SMARCA2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THOC2,,,,,,,,,,,,,,,,,,,,,,,,,,ST3GAL5,PSTPIP1,,,,STARD4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNHG8,,,,,,,,SMIM15,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THOC3,,,,,,,,,,,,,,,,,,,,,,,,,,ST6GAL1,PTEN,,,,STAU1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNRNP70,,,,,,,,SMYD2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUMPD3-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,STAG2,PTGES2,,,,STAU2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNRPB,,,,,,,,SNAPC5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIMM9,,,,,,,,,,,,,,,,,,,,,,,,,,STARD3,PTGES3,,,,STIM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNRPB2,,,,,,,,SNF8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TM9SF3,,,,,,,,,,,,,,,,,,,,,,,,,,STAT6,PTMA,,,,STK10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNRPC,,,,,,,,SNHG15,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMC8,,,,,,,,,,,,,,,,,,,,,,,,,,STK10,PTP4A2,,,,STK17A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNRPD1,,,,,,,,SNHG6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMCO1,,,,,,,,,,,,,,,,,,,,,,,,,,STK17B,PTPN1,,,,STK24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNRPE,,,,,,,,SNHG8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMED10,,,,,,,,,,,,,,,,,,,,,,,,,,STK24,PTPN12,,,,STK26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNRPN,,,,,,,,SNRNP70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM138,,,,,,,,,,,,,,,,,,,,,,,,,,STK25,PTPN7,,,,STK38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNU13,,,,,,,,SNX14,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM14A,,,,,,,,,,,,,,,,,,,,,,,,,,STRAP,PTPRC,,,,STK4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNW1,,,,,,,,SOX4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM18,,,,,,,,,,,,,,,,,,,,,,,,,,STT3B,PTS,,,,STT3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SP100,,,,,,,,SP100,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM183A,,,,,,,,,,,,,,,,,,,,,,,,,,STX4,PUM2,,,,STX11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SP3,,,,,,,,SP110,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM184B,,,,,,,,,,,,,,,,,,,,,,,,,,SUB1,PYROXD1,,,,STXBP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPAG7,,,,,,,,SPAG9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM218,,,,,,,,,,,,,,,,,,,,,,,,,,SUGT1,R3HDM4,,,,STYX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPCS3,,,,,,,,SPATA13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM219,,,,,,,,,,,,,,,,,,,,,,,,,,SURF1,RAB11A,,,,SUB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPG7,,,,,,,,SPN,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM230,,,,,,,,,,,,,,,,,,,,,,,,,,TACC1,RAB18,,,,SUCLG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPON2,,,,,,,,SPRTN,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM30A,,,,,,,,,,,,,,,,,,,,,,,,,,TAF12,RAB21,,,,SUGT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPPL2A,,,,,,,,SPTAN1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM41A,,,,,,,,,,,,,,,,,,,,,,,,,,TAF13,RAB37,,,,SUMO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPTAN1,,,,,,,,SPTBN1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMIGD2,,,,,,,,,,,,,,,,,,,,,,,,,,TAF15,RABAC1,,,,SUPT20H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPTSSA,,,,,,,,SPTY2D1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMOD3,,,,,,,,,,,,,,,,,,,,,,,,,,TAF7,RABGAP1L,,,,SYPL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SREK1,,,,,,,,SQSTM1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMSB10,,,,,,,,,,,,,,,,,,,,,,,,,,TAP1,RABGGTA,,,,SZRD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRI,,,,,,,,SRM,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TNFRSF14,,,,,,,,,,,,,,,,,,,,,,,,,,TARS,RAC1,,,,TAOK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRP14,,,,,,,,SRP9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TNRC18,,,,,,,,,,,,,,,,,,,,,,,,,,TBC1D22A,RACK1,,,,TAOK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRP19,,,,,,,,SRRM1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TNRC6B,,,,,,,,,,,,,,,,,,,,,,,,,,TBC1D31,RAD50,,,,TAX1BP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRP54,,,,,,,,SRRM2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOLLIP,,,,,,,,,,,,,,,,,,,,,,,,,,TBC1D5,RAD51-AS1,,,,TBL1XR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRP72,,,,,,,,SRSF6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOR1AIP1,,,,,,,,,,,,,,,,,,,,,,,,,,TBPL1,RAP1A,,,,TBPL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRP9,,,,,,,,SRSF9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOR2A,,,,,,,,,,,,,,,,,,,,,,,,,,TBRG1,RAP1B,,,,TCP11L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRSF1,,,,,,,,SSBP4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TP53I13,,,,,,,,,,,,,,,,,,,,,,,,,,TET2,RAPGEF6,,,,TFAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRSF10,,,,,,,,SSR2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPM3,,,,,,,,,,,,,,,,,,,,,,,,,,TGIF1,RARS2,,,,TFDP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRSF5,,,,,,,,SSR4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRADD,,,,,,,,,,,,,,,,,,,,,,,,,,TGS1,RASA3,,,,TGFB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRSF7,,,,,,,,STAT1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRAF5,,,,,,,,,,,,,,,,,,,,,,,,,,THEM4,RASGRP1,,,,TGFBR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSB,,,,,,,,STK10,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRAPPC1,,,,,,,,,,,,,,,,,,,,,,,,,,THOC2,RASSF5,,,,TGFBR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSH1,,,,,,,,STK17B,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRAPPC2,,,,,,,,,,,,,,,,,,,,,,,,,,TIMM50,RBBP6,,,,TGFBR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSH2,,,,,,,,STK25,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIM22,,,,,,,,,,,,,,,,,,,,,,,,,,TLE4,RBBP7,,,,THEM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSR2,,,,,,,,STK38,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIM56,,,,,,,,,,,,,,,,,,,,,,,,,,TMA16,RBCK1,,,,THOC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSR3,,,,,,,,STK4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIM8,,,,,,,,,,,,,,,,,,,,,,,,,,TMBIM1,RBL2,,,,THOC7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSRP1,,,,,,,,STOML2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRNAU1AP,,,,,,,,,,,,,,,,,,,,,,,,,,TMBIM4,RBM22,,,,THRAP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAG2,,,,,,,,STYXL1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRPC4AP,,,,,,,,,,,,,,,,,,,,,,,,,,TMED2,RBM23,,,,TIMM17B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAU1,,,,,,,,SUCLG1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSC2,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM107,RBM3,,,,TIPRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STK10,,,,,,,,SUGT1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSC22D2,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM126A,RBM38,,,,TKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOM,,,,,,,,SUN2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSEN54,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM134,RBM39,,,,TLE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOML2,,,,,,,,SUPT16H,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSN,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM138,RBM4,,,,TLE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STXBP2,,,,,,,,SUPT5H,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSNAX,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM14C,RCBTB2,,,,TLK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB1,,,,,,,,SUPV3L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSPAN14,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM179B,REL,,,,TM9SF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUCLG1,,,,,,,,SYNJ2BP,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSPOAP1,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM18,REV1,,,,TMEM106B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUGT1,,,,,,,,SYTL1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSPYL2,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM19,RGCC,,,,TMEM165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPT4H1,,,,,,,,TACC1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSTD1,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM199,RGS1,,,,TMEM167A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAF12,,,,,,,,TADA3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TTC37,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM230,RGS10,,,,TMEM183A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAPBPL,,,,,,,,TAF12,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUBGCP2,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM44-AS1,RGS2,,,,TMEM208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX1BP1,,,,,,,,TAGLN2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUG1,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM70,RHOB,,,,TMEM230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCEA1,,,,,,,,TBC1D9B,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TWF1,,,,,,,,,,,,,,,,,,,,,,,,,,TMUB1,RHOH,,,,TMEM243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCP1,,,,,,,,TCIRG1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TXNIP,,,,,,,,,,,,,,,,,,,,,,,,,,TMX2,RNF125,,,,TMEM41B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TERF1,,,,,,,,TCTN3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYROBP,,,,,,,,,,,,,,,,,,,,,,,,,,TNF,RNF166,,,,TMEM50A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TERF2IP,,,,,,,,TDP2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA2,,,,,,,,,,,,,,,,,,,,,,,,,,TNFAIP3,RNF167,,,,TMEM50B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TES,,,,,,,,TFDP1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBE2D1,,,,,,,,,,,,,,,,,,,,,,,,,,TNK2,RNF168,,,,TMUB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGFB1,,,,,,,,THAP1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBE2D2,,,,,,,,,,,,,,,,,,,,,,,,,,TOMM7,RNF187,,,,TNFAIP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGFBR3,,,,,,,,THAP11,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBE2G2,,,,,,,,,,,,,,,,,,,,,,,,,,TOP2B,RNF19A,,,,TNIP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGS1,,,,,,,,THOC2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBE2L3,,,,,,,,,,,,,,,,,,,,,,,,,,TOX,RNF41,,,,TOB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THOC3,,,,,,,,THRAP3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBE2S,,,,,,,,,,,,,,,,,,,,,,,,,,TPM1,RNF44,,,,TOP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THOC7,,,,,,,,THUMPD3-AS1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBE2Z,,,,,,,,,,,,,,,,,,,,,,,,,,TPM4,RNF7,,,,TOP2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THUMPD3-AS1,,,,,,,,TLK1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBE3A,,,,,,,,,,,,,,,,,,,,,,,,,,TRA2B,RNH1,,,,TOR1AIP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIAL1,,,,,,,,TM2D1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBL3,,,,,,,,,,,,,,,,,,,,,,,,,,TRAF3IP3,RNPS1,,,,TOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIMM10,,,,,,,,TM9SF2,,,,,,,,,
